"","x"
"1",0
"2",3.9765908
"3",0.9954555
"4",10.9591049
"5",7.9745099
"6",1.9912692
"7",9.9763606
"8",5.9719052
"9",5.9764508
"10",19.9262232
"11",0.9937508
"12",7.9709012
"13",5.9732945
"14",26.913711
"15",16.9392855
"16",12.9416187
"17",6.9680874
"18",2.9865054
"19",17.9345758
"20",9.9600536
"21",1.9939962
"22",8.9735395
"23",1.9931281
"24",15.9520731
"25",3.9819762
"26",18.9230069
"27",18.9225333
"28",1.9875016
"29",7.9773669
"30",13.9504723
"31",4.9772775
"32",1.9875016
"33",2.9861342
"34",9.9475705
"35",16.9362466
"36",1.9882954
"37",5.9773988
"38",9.9686677
"39",53.8399972
"40",0.9958137
"41",3.98277
"42",3.982816
"43",2.9881052
"44",6.9715909
"45",0.9937508
"46",0
"47",3.9864878
"48",4.9793646
"49",12.967511
"50",2.9882254
"51",4.9760428
"52",0
"53",6.9842471
"54",8.9692342
"55",6.9793357
"56",3.9873987
"57",4.9789041
"58",2.9848007
"59",4.9755728
"60",9.9650359
"61",55.8161496
"62",19.944771
"63",37.9135653
"64",3.9831282
"65",0
"66",2.9812524
"67",16.9476073
"68",7.9771321
"69",1.9875016
"70",7.9609059
"71",10.9523327
"72",71.7968849
"73",15.9500378
"74",11.9640161
"75",1.9927699
"76",4.9877181
"77",3.9816637
"78",90.7469265
"79",8.9765892
"80",67.8120881
"81",1.990893
"82",0.9937508
"83",5.9787793
"84",1.9900001
"85",10.9573491
"86",0.9937508
"87",22.9263311
"88",6.9683352
"89",0
"90",0
"91",10.9542898
"92",7.971592
"93",3.9802409
"94",1.9890341
"95",1.990911
"96",34.8993361
"97",6.9757783
"98",5.9756941
"99",5.9756941
"100",27.9502985
"101",3.9793443
"102",0.9985407
"103",5.9759544
"104",0.9958137
"105",0.9937508
"106",5.9809382
"107",7.9735693
"108",3.9914366
"109",3.9873987
"110",33.8821287
"111",4.9798525
"112",7.9674974
"113",3.9801391
"114",7.9730927
"115",3.9806297
"116",42.8944156
"117",5.975468
"118",5.9736527
"119",5.9801686
"120",5.9802579
"121",6.9853887
"122",9.9644002
"123",9.9854475
"124",5.9770816
"125",3.9867749
"126",2.9913106
"127",1.9888198
"128",6.9712875
"129",0.9935786
"130",17.9403812
"131",5.9800975
"132",2.9891734
"133",6.9790247
"134",5.9776488
"135",6.9746241
"136",8.9726344
"137",2.9943958
"138",10.9597035
"139",6.9805014
"140",0.9973144
"141",2.9934475
"142",0.9990931
"143",2.9833153
"144",2.9956233
"145",0
"146",7.9899828
"147",3.9871983
"148",2.9829571
"149",3.984253
"150",10.9600963
"151",3.9838784
"152",9.9564881
"153",6.969698
"154",7.9647895
"155",15.9431921
"156",11.9642618
"157",4.9845991
"158",1.9928439
"159",12.9561815
"160",0.9937508
"161",4.9839827
"162",0.9954555
"163",0
"164",0
"165",2.9909241
"166",0
"167",1.9946288
"168",8.9559312
"169",12.9524167
"170",0.9935786
"171",2.9896059
"172",2.9838888
"173",9.9550245
"174",14.9357375
"175",11.9627464
"176",5.9761014
"177",3.9829242
"178",2.9909521
"179",1.9900001
"180",2.9956233
"181",3.9858556
"182",2.9856098
