State,pro_norust_sw
alabama,0.0013484358144552318
arizona,0.020084689498826518
arkansas,0.004595588235294118
california,0.005625067208190679
colorado,0.004557612369954551
connecticut,0.0014215739191450315
dc,0.006348720348143406
etc,0.007538074631210858
florida,0.00563413957059106
foreign,0.007243955694265247
georgia,0.0041894174152231605
hawaii,0.012106537530266344
illinois,0.002902938520479141
indiana,0.00426556955450862
iowa,0.0038213601955704194
kansas,0.0006013229104028864
kentucky,0.0020180350076993547
louisiana,0.00562124549223353
maine,0.01910598413842826
maryland,0.012878697143790164
massachusetts,0.0004472271914132379
michigan,0.007246479313975633
minnesota,0.0062832331780034965
mississippi,0.01770787082013258
missouri,0.0026642873836647376
montana,0.0014986886474334957
multiple,0.0022583604432709213
nation,0.002485322015955345
nevada,0.007285502863314348
new hampshire,0.005838630238228904
new jersey,0.0007816729385356836
new mexico,0.0015986294191456408
new york,0.008508026393734509
north carolina,0.013560280697336953
north dakota,0.00021177467174925878
ohio,0.006689757185244536
oklahoma,0.003367003367003367
oregon,0.0013817686140980116
pennsylvania,0.0069457498172659305
puerto rico,0.0017878426698450535
south carolina,0.0035683885130027657
tennessee,0.00047685412169001166
texas,0.011082219845265529
utah,0.02114260008996851
vermont,0.005290613480779357
virginia,0.0036006218747687774
washington,0.05176470588235294
west virginia,0.006150508985270912
wisconsin,0.007881700453104032
