State,pro_rust
alabama,0.0020531633022358316
arizona,0.004644463391553806
arkansas,0.006433823529411764
california,0.005415434866309985
colorado,0.004760553533272394
connecticut,0.008599040243008534
dc,0.005779332836937465
etc,0.0035051267720055844
florida,0.004543152160460835
foreign,0.004107094736901898
georgia,0.002191149412309722
hawaii,0.007263922518159807
illinois,0.005364610901999686
indiana,0.0071151019841751255
iowa,0.00583877343728056
kansas,0.00661455201443175
kentucky,0.004180645248501988
louisiana,0.004249446471357858
maine,0.006623384039918051
maryland,0.002341912073289169
massachusetts,0.001601673324687186
michigan,0.008749338799960716
minnesota,0.004221304184585557
mississippi,0.006265252502996251
missouri,0.004936850012604793
montana,0.003746721618583739
multiple,0.004156232215269775
nation,0.003573852682301491
nevada,0.006364892719908951
new hampshire,0.004754184117094674
new jersey,0.001769327259523338
new mexico,0.0024999997647237207
new york,0.005241008852395815
north carolina,0.005279420868302546
north dakota,0.00021177467174925878
ohio,0.007652410864137899
oklahoma,0.003928170594837262
oregon,0.0055360222165520764
pennsylvania,0.007866073726925904
puerto rico,0.0027793536701521356
south carolina,0.00406469445620106
tennessee,0.006894012653507525
texas,0.00402476567290724
utah,0.006747638326585695
vermont,0.0042654028436018955
virginia,0.004174571652952262
washington,0.006274509803921568
west virginia,0.004627819988474723
wisconsin,0.005830622219272898
