State,pro_rust_sw
alabama,0.0020531633022358316
arizona,0.00713095601380383
arkansas,0.00505514705882353
california,0.00529709514797681
colorado,0.0059369183377227745
connecticut,0.003617997069782125
dc,0.0072382844720694384
etc,0.004184559958299392
florida,0.005700513602135429
foreign,0.006639351748862997
georgia,0.0021256534516728974
hawaii,0.004842615012106538
illinois,0.006337594496097819
indiana,0.007928944277092183
iowa,0.0061665148510464275
kansas,0.00841852074564041
kentucky,0.005785893896012281
louisiana,0.005484731783330973
maine,0.009776424650395825
maryland,0.0041608019751764565
massachusetts,0.001300218728026135
michigan,0.010178406270194828
minnesota,0.005131617987239041
mississippi,0.0075077090170182605
missouri,0.0057946591678574196
montana,0.0033720494567253652
multiple,0.004079763739513391
nation,0.003946601651528386
nevada,0.007412301923474722
new hampshire,0.006053159931803371
new jersey,0.0025510001980590218
new mexico,0.0037306728110247794
new york,0.006746258760609643
north carolina,0.007362064556316395
north dakota,0.003016219314078392
ohio,0.009221253575745754
oklahoma,0.006734006734006734
oregon,0.007627965063296736
pennsylvania,0.008544936113732327
puerto rico,0.004089397338274407
south carolina,0.004934385551802539
tennessee,0.007684744008906393
texas,0.004028705860012381
utah,0.008097165991902834
vermont,0.004185591100579252
virginia,0.00480336200565121
washington,0.00784313725490196
west virginia,0.0034126118952368316
wisconsin,0.007578986886132575
