year,state,swing_last2,swing_last,average
2008,WI,0.0022,0.0038,0.003
2008,IA,0.0031,0.0067,0.0049
2008,NM,0.0006,0.0079,0.00425
2008,NH,0.0127,0.0137,0.0132
2008,OH,0.0351,0.0211,0.0281
2008,PA,0.0417,0.025,0.033350000000000005
2008,NV,0.0355,0.0259,0.030699999999999998
2008,MI,0.0513,0.0342,0.042749999999999996
2008,MN,0.024,0.0348,0.0294
2008,OR,0.0044,0.0416,0.023
2012,MO,0.072,0.0013,0.036649999999999995
2012,NC,0.1243,0.0033,0.0638
2012,IN,0.2068,0.0103,0.10855000000000001
2012,MT,0.205,0.0238,0.1144
2012,FL,0.0501,0.0281,0.039099999999999996
2012,OH,0.0211,0.0458,0.03345
2012,GA,0.1659,0.052,0.10894999999999999
2012,VA,0.082,0.063,0.07250000000000001
2012,SD,0.2147,0.0841,0.1494
2012,AZ,0.1045,0.0848,0.09465
2016,FL,0.0281,0.0088,0.01845
2016,NC,0.0033,0.0204,0.011850000000000001
2016,OH,0.0458,0.0297,0.03775
2016,VA,0.063,0.0387,0.05085
2016,CO,0.0895,0.0536,0.07155
2016,PA,0.1031,0.0538,0.07844999999999999
2016,NH,0.0961,0.0558,0.07595
2016,IA,0.0953,0.0581,0.07669999999999999
2016,NV,0.1249,0.0668,0.09584999999999999
2016,WI,0.139,0.0694,0.10420000000000001
