,Author,Author1,City,No.,Title,Type,Year,Year1,adjust,adjustment,anti-dumping,cheap,china,compete,competition,dumping,economy,export,free trade,free trade agreeement,grow,growthmanufacturingworld,import,labor union,liberalization,liberalizelabor,mexico,nafta,protect,protection,rust belt,subsidy,unemploy,unemployment,wto
0,Rudy Giuliani,Rudy Giuliani,Columbia,1,"Remarks on the Death of Jerry Falwell in Columbia, South Carolina",remarks,2008,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Rudy Giuliani,Rudy Giuliani,Orlando,2,"Excerpts of Remarks in Orlando, Florida",remarks,2008,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Rudy Giuliani,Rudy Giuliani,Fort Lauderdale,3,"Excerpt of Remarks to Reporters in Fort Lauderdale, Florida",remarks,2008,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Rudy Giuliani,Rudy Giuliani,New Castle,4,"Excerpts of Remarks at a Town Hall Meeting in New Castle, New Hampshire",remarks,2008,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Rudy Giuliani,Rudy Giuliani,Washington,5,"Excerpts of Remarks to the U.S. Airport and Seaport Association in Washington, D.C.",remarks,2008,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Rudy Giuliani,Rudy Giuliani,Bedford,6,"Excerpts of Remarks in Bedford, New Hampshire",remarks,2008,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Rudy Giuliani,Rudy Giuliani,0,7,Excerpts of an Interview with Peter Cook of Bloomberg,interview,2008,2008,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
7,Rudy Giuliani,Rudy Giuliani,Des Moines,8,"Excerpts of Remarks in Des Moines, Iowa",remarks,2008,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Rudy Giuliani,Rudy Giuliani,Savannah,9,"Excerpts of Remarks in Savannah, Georgia",remarks,2008,2008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Rudy Giuliani,Rudy Giuliani,Jacksonville,10,"Excerpts of Remarks in Jacksonville, Florida",remarks,2008,2008,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
