"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","growth","compani","quarter","hardwork","driver","firm","near","key","boost","rais"
"2","nevada","lot","vote","deleg","specif","question","popular","shouldnt","obvious","want"
"3","perspect","crisi","address","propos","pass","spoken","friday","prioriti","consensus","legisl"
"4","iran","israel","missil","weapon","iranian","necessari","nuclear","oil","bomb","land"
"5","rudi","unbeliev","tremend","fantast","great","thank","mike","robert","brother","potenti"
"6","palestinian","statehood","negoti","israel","isra","encourag","east","accord","aggress","appeas"
"7","king","caus","justic","labor","injustic","movement","worker","faith","deliv","promis"
"8","bank","wall","street","fee","illeg","financi","execut","reserv","charg","big"
"9","cardin","church","cours","ann","debat","dinner","moment","presid","governor","night"
"10","ð²ð","abus","block","famili","averag","lender","stori","write","two","compani"
"11","trillion","trade","plan","job","china","wealth","dollar","tax","add","childcar"
"12","teacher","school","student","kid","romney","educ","test","parent","district","moder"
"13","oppon","voter","man","smith","joe","barack","sign","room","senat","obama"
"14","deepli","hillari","shes","ann","hour","love","grate","tim","nobodi","thank"
"15","terror","intellig","bush","terrorist","target","approach","qaeda","cell","georg","war"
"16","trump","audienc","theyr","china","ford","nice","member","mexico","hell","send"
"17","women","leav","equal","pay","whether","paid","daughter","famili","parent","question"
"18","mccain","john","news","glad","tonight","barack","storm","senat","tough","name"
"19","price","homeown","home","mortgag","oil","gas","loan","lend","insur","quick"
"20","vote","race","kentucki","parti","yes","primari","mrs","felt","hillari","want"
"21","prison","polic","communiti","incarcer","david","crime","justic","crimin","trust","dinkin"
"22","enterpris","aid","develop","free","trade","privat","partnership","suffer","sector","foreign"
"23","donald","tonight","dinner","smith","treat","emin","cathol","appeal","say","listen"
"24","hillari","clinton","immigr","china","radic","rig","isi","depart","foreign","worker"
"25","mortgag","foreclosur","stimulus","loan","wall","rate","payment","street","industri","famili"
"26","freedom","arab","assad","libya","democraci","protest","region","regim","weaken","syria"
"27","jihad","nuclear","europ","iran","defeat","radic","jihadist","genocid","india","violent"
"28","real","readi","dream","choic","shift","compar","uniti","elect","oppon","solut"
"29","malaria","poverti","commit","climat","child","energi","resourc","global","ill","diseas"
"30","indiana","penc","mike","budget","happen","said","won","horribl","shes","trump"
"31","market","rate","trust","mortgag","benefit","investor","practic","faith","agenda","renew"
"32","militari","troop","iraq","civilian","war","forc","pentagon","recruit","mission","moral"
"33","texa","fanni","bank","freddi","percent","dodd-frank","capit","mortgag","bubbl","hous"
"34","diseas","serv","energi","oversight","initi","legisl","global","taxpay","crisi","invent"
"35","conserv","less","white","lower","embrac","remain","yesterday","hous","proud","washington"
"36","isi","syrian","coalit","syria","terrorist","assad","zone","fighter","saudi","partner"
"37","fair","invest","incom","worker","wage","pay","long-term","busi","strong","ahead"
"38","smaller","way","one","believ","time","like","can","help","year","govern"
"39","regulatori","institut","risk","market","financi","lender","framework","oversight","excess","capit"
"40","outdat","way","like","time","help","one","think","today","stand","year"
"41","banner","way","time","one","like","democrat","year","ask","see","help"
"42","disagre","believ","time","one","get","ask","togeth","way","year","will"
"43","beat","believ","one","way","togeth","get","like","can","year","will"
"44","flexibl","bargain","democraci","ill","roosevelt","mother","court","wish","famili","youngest"
"45","novemb","track","hasnt","enorm","reveal","fire","escap","shore","door","anymor"
