"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","donald","women","trump","stand","firefight","everyon","famili","acknowledg","mother","septemb"
"2","conserv","conservat","adam","report","choos","superpow","settl","constitut","stood","interpret"
"3","trump","theyr","gonna","negoti","nice","nobodi","anybodi","hell","everybodi","hampshir"
"4","mitt","romney","usa","flag","hes","number","guy","four","audienc","ryan"
"5","latin","hemispher","cuba","cuban","religion","region","colombia","castro","trade","democraci"
"6","montana","donald","trump","speaker","commander--chief","unknown","solut","trial","isi","readi"
"7","isi","syria","syrian","radic","refuge","muslim","intellig","terrorist","pari","assad"
"8","audienc","nevada","boo","virginia","member","deficit","romney","colorado","everybodi","got"
"9","tax","cut","medicar","senior","incom","code","retir","lower","corpor","deficit"
"10","warren","abort","marriag","mccain","cell","karen","evil","minut","women","babi"
"11","judici","court","judg","constitut","barbara","amend","nomine","suprem","gun","judiciari"
"12","tonight","florida","thank","campaign","grate","congratul","carolina","ann","bless","parti"
"13","latino","dream","mccain","struggl","afford","count","voic","fall","chicago","heard"
"14","bullet","orlean","citi","neighborhood","mayor","riot","poverti","babi","communiti","gulf"
"15","growth","entrepreneur","corpor","displac","wast","worker","economi","dream","earn","busi"
"16","dillard","orlean","water","lake","love","deep","texa","hope","pray","univers"
"17","nato","veteran","guard","russia","injuri","georgia","europ","allianc","deploy","civilian"
"18","texa","jess","religion","willi","adopt","elizabeth","abort","african-american","ronald","black"
"19","teacher","student","school","charter","educ","classroom","parent","test","district","kid"
"20","crisi","taxpay","joint","diseas","statement","senat","malaria","global","suspend","meet"
"21","billionair","wealth","vermont","huge","hour","jail","turnout","percent","wealthiest","wage"
"22","patient","insur","medic","coverag","health","cover","cost","doctor","care","drug"
"23","east","libya","alli","regim","egypt","enemi","capabl","weaken","clariti","defens"
"24","ð²ð","page","cynic","illinoi","polit","knew","uniti","chicago","turn","led"
"25","gentlemen","english","ladi","rubio","theyr","hand","centuri","graham","generat","safe"
"26","hillari","clinton","illeg","crimin","corrupt","nafta","email","donor","crime","rig"
"27","cooper","sen","think","question","sander","wright","clinton","obvious","reverend","contradict"
"28","mccain","senat","tax","crisi","street","invest","eight","john","oppon","bush"
"29","donald","indiana","unbeliev","penc","mike","incred","horribl","shes","amaz","evangel"
"30","iraqi","qaeda","iraq","pakistan","afghanistan","troop","strategi","withdraw","sectarian","terrorist"
"31","boo","folk","audienc","everybodi","michell","romney","member","weve","got","auto"
"32","march","king","joshua","lewi","reverend","mose","martin","selma","glori","injustic"
"33","agenc","cyber","jihad","defens","sector","depart","truman","militari","modern","expert"
"34","paul","liberti","ron","monetari","print","constitut","fed","money","default","foreign"
"35","gingrich","cain","newt","herman","drill","barack","santorum","speaker","frank","elit"
"36","bureaucrat","repeal","obamacar","entitl","unemploy","bureaucraci","growth","mandat","expens","rate"
"37","immigr","undocu","legal","illeg","latino","citizenship","comprehens","border","worker","hispan"
"38","mortgag","bank","financi","lender","homeown","street","wall","fed","loan","market"
"39","oil","research","scienc","gasolin","gas","barrel","fuel","energi","price","coal"
"40","barri","arizona","naval","udal","father","academi","navi","career","grandfath","goldwat"
"41","enterpris","obama","dad","metro","vision","apolog","dream","town","tomorrow","america"
"42","kid","realli","unknown","earli","lot","clinton","question","yes","child","school"
"43","israel","palestinian","isra","iran","iranian","hama","jewish","sanction","hezbollah","nuclear"
"44","aid","church","justic","prison","king","kennedi","sentenc","wellesley","africa","crime"
"45","nurs","class","health","invis","care","compani","gap","middl","sick","colleg"
