"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","ð²ð","invis","disabl","onlin","contract","govern","record","administr","medic","six","soldier","exampl","-bid","result","contractor"
"2","border","question","russian","mexico","maam","sir","obvious","gift","cartel","yes","sorri","georgia","there","mexican","french"
"3","hillari","dishonest","crook","win","michigan","rig","shes","unbeliev","swamp","illeg","drain","movement","iowa","debat","nevada"
"4","lobbyist","democraci","special","interest","influenc","broken","ð²ð","system","washington","chang","quo","status","contribut","power","fix"
"5","servic","americorp","volunt","healthcar","flint","communiti","mayb","someth","find","realli","lifetim","way","student","contribut","kennedi"
"6","imposs","mayor","commit","lay","unidentifi","winner","execut","handl","order","tremend","twelv","femal","congratul","futur","immedi"
"7","voic","tonight","spoke","moment","heard","journey","behalf","insur","jame","polici","cleft","owe","caus","aspir","whose"
"8","mitt","romney","four","audienc","medicar","incom","track","ryan","virtual","flag","man","wow","five","number","budget"
"9","lobbyist","lobbi","oil","tension","industri","cheney","administr","contract","allow","premium","drug","reform","dick","favor","polit"
"10","parent","leav","paid","child","famili","sick","children","flexibl","women","workplac","employ","equal","employe","cover","invis"
"11","florida","man","hampshir","thank","measur","continu","guy","deb","usa","appreci","ladi","night","thought","tonight","leadership"
"12","student","colleg","teacher","educ","school","graduat","program","kim","foster","loan","scienc","tuition","teach","child","gene"
"13","haiti","wikileak","email","fbi","lie","clinton","media","corrupt","investig","border","hillari","depart","crime","machin","e-mail"
"14","tax","bush","street","georg","invest","mccain","wall","main","eight","oversea","economi","compani","econom","cut","class"
"15","afghanistan","surg","strategi","afghan","wound","roy","defeat","command","helicopt","iraq","iraqi","soldier","forc","troop","war"
"16","embassi","romney","palestinian","statement","audienc","member","yeah","view","israel","gonna","peac","iran","west","dioxid","breach"
"17","flag","space","strengthen","scout","havent","bruce","boy","heard","shuttl","number","theyv","reelect","nasa","torch","sure"
"18","nuclear","emiss","weapon","cap--trad","intern","carbon","prolifer","global","warm","materi","fuel","treati","glacier","reprocess","seek"
"19","poverti","justic","moral","educ","global","optimist","urban","human","relat","wealthiest","tackl","injustic","poor","transform","centuri"
"20","retir","social","bush","dream","georg","secur","senior","pension","mccain","earn","fair","struggl","credit","promis","continu"
"21","iraqi","angri","negoti","iran","departur","escal","iraq","date","presenc","stay","decis","militari","option","diplomaci","troop"
"22","uniti","yes","barack","clinton","parti","common","obama","hillari","journey","divis","healthcar","democrat","nomin","hampshir","leadership"
"23","immigr","land","unemploy","union","email","illeg","recoveri","freedom","legal","seven","dad","obama","leadership","conserv","presid"
"24","audienc","member","cut","deficit","folk","weve","got","medicar","boo","everybodi","reason","forward","florida","somehow","youv"
"25","john","mccain","charact","plane","captor","palin","tonight","pow","stood","arm","pilot","beaten","man","cell","parti"
"26","barack","deliv","hampshir","health","everyon","champion","mother","fight","heart","women","daughter","afford","democrat","join","mom"
"27","patient","nurs","doctor","qualiti","hospit","diabet","medic","physician","treatment","healthcar","blood","practic","empow","infect","provid"
"28","pakistan","terrorist","intellig","pakistani","aid","democraci","moder","taliban","militari","inform","confid","war","prevail","iran","afghanistan"
"29","climat","union","miami","labor","flood","clean","gore","organ","electr","hurrican","mexico","led","beach","wage","experi"
"30","trump","donald","gonna","e-mail","russia","question","theyr","franc","horribl","unbeliev","isi","nobodi","shes","putin","hillari"
"31","servic","centuri","chicago","lesson","neighborhood","mother","journey","barack","stori","volunt","graduat","felt","improb","organ","father"
"32","oil","energi","effici","fuel","ethanol","gas","technolog","car","renew","gallon","price","warm","plant","pollut","global"
"33","liber","elizabeth","homeland","path","evil","conserv","usa","preserv","corpor","lobbyist","rose","corrupt","continu","palin","sacrific"
"34","donald","trump","vote","stake","everybodi","patrick","excit","lgbt","insult","prove","ladi","counti","here","realli","michell"
"35","imagin","liberti","cuba","constitut","growth","instead","que","bake","christian","bread","girl","sister","boy","teenag","chariti"
"36","african-american","hillari","inner","clinton","islam","nafta","immigr","radic","massiv","trade","terror","includ","refuge","border","isi"
"37","wealth","joe","fight","spread","obama","yes","tax","spend","oppon","senat","quot","drill","redistribut","dollar","test"
"38","enough","corpor","game","must","privileg","principl","compromis","challeng","good","valu","prosper","wont","promis","parti","greater"
"39","mitt","romney","ann","david","obamacar","advantag","usa","husband","number","torch","billi","florida","protest","audienc","deficit"
"40","desk","tech","classroom","food","martha","hed","wake","grade","mother","night","earli","grew","dad","carolina","millionair"
"41","black","polic","disabl","berni","justic","gun","everyon","baltimor","scott","farm","crime","communiti","mayor","crimin","inclus"
"42","financi","philosophi","mortgag","street","wall","market","crisi","regul","middle-class","main","oversight","econom","institut","economi","mccain"
"43","fanni","market","crisi","freddi","obama","project","senat","mac","mae","fine","small","propos","plan","record","earmark"
"44","veteran","mental","webb","command","access","injuri","bonus","owe","legisl","benefit","whatev","affair","scandal","sacrific","duti"
"45","audienc","member","florida","everybodi","romnesia","deficit","auto","boo","matter","romney","mess","bet","plan","middl","youv"
