"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","king","black","march","justic","joshua","prison","injustic","african","mose","sentenc","reverend","gap","polic","color","father"
"2","conserv","conservat","adam","liber","castro","veto","settl","ronald","reagan","superpow","stood","choos","reid","harri","massachusett"
"3","illeg","immigr","amnesti","visa","crimin","releas","deport","border","enforc","admit","alien","identifi","overstay","incred","sanctuari"
"4","mitt","romney","derrick","flag","report","sandwich","guy","usa","jim","entrepreneur","number","olymp","restaur","skate","virginia"
"5","pakistan","qaeda","cuba","hemispher","pakistani","latin","taliban","cuban","musharraf","afghan","diplomaci","colombia","region","democraci","afghanistan"
"6","warren","john","mccain","cell","montana","wellesley","faith-bas","stem","saddleback","georgia","evil","plane","speaker","trial","christian"
"7","isi","syria","syrian","radic","muslim","refuge","assad","terrorist","islam","fighter","pari","coalit","zone","arab","-fli"
"8","invis","ð²ð","colleg","paid","student","women","disabl","retir","contract","loan","sick","cover","employ","parent","earn"
"9","audienc","bet","colorado","romnesia","member","virginia","champion","governor","boo","preexist","everybodi","deficit","nevada","romney","choos"
"10","deficit","cut","audienc","boo","weve","got","member","folk","millionair","wind","forward","oppon","youv","reason","your"
"11","desk","mccain","whitman","symbol","russian","maam","dioxid","question","gift","obvious","sir","mexico","cartel","carbon","sorri"
"12","tonight","barack","congratul","thank","grate","campaign","south","smith","joe","huckabe","night","primari","hampshir","dinner","carolina"
"13","african-american","hillari","clinton","inner","unleash","email","nafta","disastr","donor","lie","trade","massiv","oppress","rig","fail"
"14","aid","diseas","climat","malaria","africa","poverti","develop","global","enterpris","inform","confid","effect","initi","intellig","girl"
"15","mccain","street","relief","philosophi","main","afford","crisi","wall","lobbyist","mortgag","middle-class","economi","john","ill","invest"
"16","romney","mitt","flag","ryan","scout","boy","nasa","space","paul","shuttl","audienc","four","hes","guy","yeah"
"17","judici","court","constitut","judg","amend","barbara","branch","marriag","suprem","gun","nomine","judiciari","texa","abort","confirm"
"18","servic","privileg","americorp","academi","naval","intend","greater","vietnam","serv","hide","ideal","prosper","expect","citizenship","wast"
"19","nato","allianc","russia","cyber","civilian","militari","nuclear","defens","threat","weapon","intern","prolifer","alli","europ","cold"
"20","newt","gingrich","barack","quot","campaign","speaker","karen","conserv","santorum","candid","debat","speech","race","obama","negat"
"21","question","realli","lot","clinton","think","yes","know","tri","hampshir","cooper","obvious","somebodi","kind","figur","sander"
"22","citi","mayor","york","orlean","katrina","giuliani","baltimor","fema","storm","dillard","crime","louisiana","ronald","coast","polic"
"23","mortgag","growth","rate","capit","code","market","homeown","loan","lender","investor","competit","foreclosur","tax","consum","borrow"
"24","bank","financi","taxpay","institut","freddi","regulatori","street","fanni","oversight","agenc","bailout","wall","lobbyist","lobbi","reform"
"25","oil","emiss","fuel","energi","gas","carbon","research","gallon","technolog","barrel","warm","price","coal","gasolin","ethanol"
"26","readi","bush","georg","health","stand","democrat","parti","voic","moment","stood","latino","union","white","care","kennedi"
"27","israel","palestinian","jewish","isra","hama","iranian","east","iran","peac","aipac","hezbollah","missil","jew","gaza","arab"
"28","folk","everybodi","boo","michell","basic","audienc","grandpar","member","auto","deficit","outstand","backward","bargain","weve","class"
"29","teacher","school","bullet","student","educ","classroom","kid","child","urban","charter","teach","parent","test","childhood","grade"
"30","english","rubio","dream","centuri","gentlemen","generat","ladi","grandfath","uniform","graham","true","languag","leadership","nation","rebuild"
"31","fbi","hillari","corrupt","email","clinton","crimin","rig","wikileak","server","investig","nafta","crime","lie","haiti","illeg"
"32","patient","nurs","doctor","medic","insur","hospit","coverag","health","qualiti","care","treatment","cost","healthcar","cover","diabet"
"33","ð²ð","lobbyist","page","chicago","cynic","stori","polit","illinoi","organ","game","divid","block","neighborhood","knew","south"
"34","usa","mitt","torch","romney","number","obamacar","hes","david","husband","protest","militari","ann","path","busi","budget"
"35","mccain","senat","tax","bush","oppon","wont","eight","crisi","fight","georg","joe","month","insur","invest","rescu"
"36","donald","trump","disabl","everyon","excit","vote","lgbt","regist","berni","carolina","realli","patrick","insult","north","stake"
"37","paul","liberti","ron","monetari","print","fed","constitut","default","money","reserv","foreign","messag","caucus","undermin","sound"
"38","iran","sanction","iranian","agreement","negoti","nuclear","putin","deal","isil","hezbollah","destabil","assad","palestinian","syria","inspect"
"39","trump","donald","gonna","e-mail","unbeliev","theyr","shes","horribl","dishonest","nobodi","crook","nice","happen","bad","indiana"
"40","billionair","wealth","jail","vermont","inequ","wealthiest","hour","huge","wage","incom","percent","turnout","major","disastr","brother"
"41","cain","herman","elit","gloria","alter","hill","abolish","pursuit","dodd","mess","vision","olymp","atlanta","frustrat","grandkid"
"42","iraqi","iraq","veteran","surg","troop","afghanistan","command","soldier","sectarian","guard","withdraw","petraeus","injuri","strategi","qaeda"
"43","church","christian","faith","religion","conscienc","barri","religi","reverend","wright","pastor","imagin","arizona","sen","udal","christ"
"44","enterpris","budget","texa","entitl","unemploy","obama","balanc","dad","farm","freedom","recoveri","obamacar","paint","apolog","preserv"
"45","immigr","undocu","legal","latino","comprehens","unknown","illeg","hispan","citizenship","mexico","worker","labor","border","mexican","deport"
