"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","romney","deficit","audienc","cut","mitt","boo","got","wind","vote","your","night","math","reason","member","everybodi"
"2","japan","babi","hillari","trump","isi","disast","donald","tempera","nice","citizenship","hostag","tough","shes","putin","win"
"3","rate","gonna","societi","sector","creat","key","compet","manufactur","union","tax","corpor","wealth","welfar","entitl","privat"
"4","action","immigr","maryland","gun","dream","wage","must","donald","row","omalley","injustic","hispan","trump","minimum","governor"
"5","mitt","number","romney","guy","appreci","four","militari","permit","abl","hed","advantag","principl","audienc","recogn","road"
"6","audienc","member","michell","ladi","medicar","boo","basic","guy","everybodi","class","folk","fun","cedar","middl","vision"
"7","virginia","west","bishop","pastor","parti","win","race","determin","contest","everyon","democrat","deleg","grate","whos","black"
"8","oil","contrast","gas","energi","solar","pump","price","drill","renew","planet","thirti","effici","wind","sourc","solv"
"9","ron","paul","fire","stori","voic","carolina","iowa","vest","readi","around","forward","campaign","chant","room","staff"
"10","king","bend","memphi","justic","march","arc","struggl","let","generat","death","union","faith","heart","knew","lincoln"
"11","small","busi","bank","student","hed","loan","iowa","silkscreen","school","print","colleg","high","flood","wrong","mom"
"12","bulli","trump","donald","lauren","equal","disabl","join","progress","maryland","advoc","discrimin","school","marriag","gun","stronger"
"13","ceo","subsidi","agreement","worker","export","trade","dollar","korea","crisi","propos","billion","farmer","south","offer","million"
"14","defens","missil","cyber","ship","navi","capabl","modern","avoid","isi","east","warfar","endless","email","armi","radic"
"15","card","credit","mccain","cost","famili","debt","relief","pay","hardwork","arent","middle-class","ill","choos","tax","invest"
"16","veteran","deploy","grandfath","serv","civilian","troop","sacr","enlist","uniform","afghanistan","commander--chief","men","mission","command","militari"
"17","pennsylvania","someon","karen","town","race","whos","santorum","manufactur","steel","document","forg","dakota","win","crush","freedom"
"18","gold","bail","reserv","money","monetari","liberti","print","spend","constitut","oversea","soviet","foreign","involv","debt","bomb"
"19","hillari","clinton","michigan","donor","african-american","email","nafta","corrupt","illeg","donat","tpp","border","refuge","novemb","rig"
"20","sander","hay","maddow","chris","question","univers","berni","super","chicago","vote","rachel","issu","deleg","turnout","yes"
"21","webb","rural","farm","farmer","vietnam","agricultur","welcom","associ","sort","tradit","area","question","internet","yeah","term"
"22","waterloo","sullivan","voic","barack","brother","iowa","conserv","liber","grate","medicin","god","team","promis","five","one-term"
"23","promis","medicar","debt","four","growth","inherit","confid","obama","retire","will","obamacar","entitl","busi","program","pro-growth"
"24","trip","immigr","affirm","journalist","nativ","action","muslim","associ","impress","question","posit","think","afghanistan","qaida","whether"
"25","war","iraq","soldier","convent","mistak","nuclear","experi","tour","battl","combat","intellig","undetermin","occup","fight","weapon"
"26","childcar","account","philadelphia","deduct","doctor","fix","employ","pennsylvania","low-incom","solut","navi","massiv","replac","outlin","deport"
"27","israel","iran","isra","hezbollah","palestinian","peac","hama","region","iranian","stone","rocket","remain","rhetor","diplomaci","border"
"28","joe","biden","wisconsin","fight","taxpay","washington","kohl","tonett","test","lower","boy","reform","foreign","enemi","senat"
"29","explor","coal","shale","energi","product","natur","restrict","develop","environment","electr","gas","obama-clinton","epa","produc","detroit"
"30","counti","somerset","devalu","currenc","nomine","founder","knew","came","centuri","thank","constitut","generat","beauti","freedom","prescript"
"31","minnesota","budget","feder","balanc","truth","ethanol","taxpay","congress","fanni","freddi","subsidi","spend","washington","market","bailout"
"32","john","mccain","bush","georg","unidentifi","obama","barack","male","eight","five","deep","yes","missouri","lose","insur"
"33","mccain","street","bush","tax","insur","crisi","john","health","georg","eight","moment","cut","oppon","afford","invest"
"34","enterpris","freedom","barack","mitt","success","government-cent","dreamer","free","societi","bureaucrat","busi","regul","innov","obama","transform"
"35","insur","gun","realli","drug","know","health","happen","said","caucus","mental","went","imagin","everyth","none","secretari"
"36","crime","crimin","enforc","polic","victim","violent","sheriff","milwauke","law","prison","african-american","narrat","innoc","justic","gang"
"37","tim","donald","trump","vote","oppon","realli","michigan","everybodi","mother","pittsburgh","mayb","secretari","everyon","khan","elect"
"38","champion","wisconsin","bet","chang","audienc","quo","everybodi","status","member","class","middl","deficit","goe","that","fight"
"39","mother","father","children","parent","foundat","girl","babi","childcar","child","women","kindergarten","feet","rock","brain","care"
"40","here","happen","theyr","snake","plant","pennsylvania","win","mexico","short-circuit","bad","your","nafta","smart","what","vet"
"41","tonight","yes","heal","endur","hope","outsid","word","told","victori","voic","slogan","spirit","belong","evil","answer"
"42","wage","jail","vermont","hour","billionair","berni","virginia","drug","wealth","major","west","minimum","union","corpor","campaign"
"43","nuclear","weapon","threat","global","network","danger","materi","capac","allianc","terrorist","secur","centuri","aid","forc","sustain"
"44","romney","got","weve","audienc","folk","governor","wind","boo","member","hire","ryan","iowa","everybodi","deficit","teacher"
"45","patriot","iraqi","iraq","sacrific","withdraw","ideal","sectarian","loyalti","consequ","teach","necessari","battl","remain","argu","sunni"
