"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","boo","audienc","got","deficit","romney","ohio","folk","cut","vote","member","trillion","weve","hes","everybodi","youv"
"2","iowa","tonight","principl","hampshir","upon","friend","conserv","learn","win","carolina","love","wonder","candid","thing","proud"
"3","champion","bet","ohio","deficit","audienc","everybodi","auto","tri","romney","wasnt","joe","chang","car","quo","member"
"4","steel","zero","chines","realli","regist","trump","buffett","warren","aluminum","excit","want","lot","night","everybodi","incom"
"5","fuel","vehicl","ethanol","fuel-effici","automak","car","auto","industri","biofuel","entrepreneur","subsidi","standard","global","technolog","oil"
"6","fight","wealth","senat","obama","yes","spend","joe","spread","tax","enemi","redistribut","dollar","direct","courag","safer"
"7","ryan","rep","romney","hes","mitt","audienc","member","gramm","paul","four","number","sandwich","pursu","take-hom","barack"
"8","retir","senior","social","secur","save","pension","invis","benefit","match","account","grandpar","middle-class","medicar","fiscal","term"
"9","strickland","governor","york","ohio","ohioan","robert","clinton","lieuten","dave","manufactur","upstat","senat","excit","judg","david"
"10","oil","gas","energi","planet","effici","drill","sourc","renew","mccain","price","wind","clean","solar","gallon","car"
"11","veto","percent","michigan","fund","bush","earmark","train","sovereign","wealth","unemploy","price","ronald","spend","econom","reagan"
"12","market","drill","energi","busi","stock","obama","surg","action","job","healthcar","creat","price","depend","senat","nuclear"
"13","mccain","twenty-on","john","week","polit","knew","choos","georg","deep","common","moment","bush","month","led","divid"
"14","iraqi","troop","iraq","wound","refuge","veteran","sectarian","region","afghanistan","stabil","militari","initi","bruce","soldier","engag"
"15","taxpay","oversight","ireland","dollar","youngstown","reform","northern","congress","citizen","agenc","account","transpar","other","prioriti","review"
"16","georgia","russian","russia","territori","nato","moscow","europ","aggress","bomb","aim","revolut","integr","withdraw","south","western"
"17","michigan","theyd","washington","burden","vision","ann","havent","automot","industri","cours","healthcar","politician","cafe","detroit","auto"
"18","guilti","hillari","isi","christi","clinton","obamacar","lie","win","shes","mexico","trump","stupid","swamp","russia","e-mail"
"19","corpor","ð²ð","compact","lobbyist","fair","wealth","code","power","ceo","moral","equal","special","valu","worker","washington"
"20","mortgag","foreclosur","crisi","confid","homeown","lender","hous","restructur","subprim","loan","pennsylvania","broker","emerg","inact","quick"
"21","patient","medic","coverag","drug","insur","qualiti","doctor","health","care","hospit","premium","cost","expens","diseas","uninsur"
"22","strength","innov","chart","transform","bar","enterpris","taxat","show","gdp","tort","european","technolog","healthcar","sourc","model"
"23","audienc","basic","folk","member","michell","got","everybodi","ran","weve","class","theori","bargain","middl","cut","vision"
"24","iran","war","iraq","diplomaci","iraqi","combat","bush","convent","diplomat","doctrin","troop","author","sanction","georg","iranian"
"25","toledo","trump","consum","fargo","print","tabl","rule","hed","everyon","endors","corpor","lebron","custom","enforc","grate"
"26","number","romney","flag","four","obamacar","yeah","mitt","five","boy","usa","portman","budget","balanc","scout","mention"
"27","hillari","immigr","clinton","citi","inner","african-american","illeg","border","email","violenc","crime","baltimor","poverti","deal","refuge"
"28","donald","gun","trump","weapon","nuclear","putin","bruce","gabbi","quot","email","launch","imagin","alli","eight","realli"
"29","student","colleg","tuition","dream","loan","debt","card","bankruptci","credit","educ","aid","michell","retir","ill","ban"
"30","deserv","better","speak","apart","hillari","boss","won","tonight","wave","whos","donald","lake","mill","america","god"
"31","autism","women","woman","children","iowa","caucus","daughter","colleagu","adult","arkansa","child","bob","leav","figur","suffrag"
"32","labor","union","pennsylvania","bargain","hospit","member","someon","shes","outsourc","alongsid","mccain","worker","movement","ring","minimum"
"33","street","rescu","wall","mccain","crisi","main","taxpay","philosophi","mayb","page","road","moment","common-sens","economi","plan"
"34","trade","agreement","nafta","worker","manufactur","china","labor","deal","union","plant","green","steel","interest","special","oversea"
"35","houston","yes","nuclear","texa","readi","automobil","earli","wait","friend","strategi","french","gallon","fuel","standard","honor"
"36","black","church","racial","wright","white","servic","stori","perfect","anger","faith","group","corp","legaci","communiti","justic"
"37","michigan","lobbyist","offens","parti","offer","moment","illinoi","voic","race","uaw","fear","block","florida","georg","led"
"38","fanni","financi","freddi","institut","mae","reform","mac","crisi","regul","regulatori","abus","wast","investor","washington","dollar"
"39","everybodi","okay","folk","basic","audienc","question","ladi","member","extend","right","got","natur","yes","sing","unemploy"
"40","freedom","missouri","constitut","rick","listen","obamacar","court","suprem","steubenvill","free","karen","religi","enterpris","regul","preserv"
"41","democrat","tonight","readi","heat","stand","deserv","solut","voic","republican","wisconsin","stood","thank","race","seven","repres"
"42","human","cooper","internet","traffick","digniti","crime","acquir","slave","respect","form","border","progress","predat","prey","sex"
"43","tortur","terror","islam","isi","fisa","habea","surveil","corpus","radic","prison","constitut","immigr","wound","warrant","oppress"
"44","teacher","school","educ","student","teach","charter","child","math","centuri","scienc","behind","kid","classroom","public","children"
"45","matthew","obama","west","femal","somebodi","barack","tour","think","intellig","student","deleg","philadelphia","base","pray","guy"
