"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","boo","audienc","romney","ohio","deficit","member","got","path","math","cut"
"2","trump","donald","tim","zero","realli","oppon","everybodi","insult","vote","regist"
"3","tonight","iowa","readi","hampshir","grate","democrat","shes","voic","stand","heat"
"4","enterpris","barack","promis","obamacar","vision","unemploy","obama","four","government-cent","societi"
"5","maddow","sander","rachel","trump","parti","abort","secretari","donald","deleg","media"
"6","immigr","trip","muslim","affirm","question","journalist","sing","everybodi","nativ","granddaught"
"7","mccain","street","crisi","rescu","wall","main","tax","relief","fundament","eight"
"8","fuel","coal","explor","emiss","ethanol","fuel-effici","carbon","electr","energi","shale"
"9","donald","nuclear","gun","putin","trump","weapon","bruce","gabbi","strategi","automobil"
"10","oil","gas","energi","drill","planet","mccain","renew","price","solar","effici"
"11","retir","senior","social","save","pension","secur","account","match","bankruptci","middle-class"
"12","mccain","john","georg","fear","polit","twenty-on","bush","lobbyist","divid","common"
"13","obama","senat","fight","spend","tax","joe","yes","rais","spread","wealth"
"14","gold","paul","bail","minnesota","ron","reserv","feder","truth","constitut","monetari"
"15","wage","minimum","jail","hour","drug","vermont","billionair","virginia","berni","west"
"16","sander","hay","matthew","chris","chicago","question","berni","vote","legal","univers"
"17","michigan","rate","competit","market","gonna","train","creat","tax","econom","reduc"
"18","financi","taxpay","fanni","lobbyist","oversight","freddi","crisi","card","mae","street"
"19","iraqi","veteran","iraq","troop","soldier","deploy","injuri","civilian","uniform","wound"
"20","romney","obamacar","number","seal","jim","mitt","budget","governor","farm","jersey"
"21","joe","biden","tonight","journey","fork","road","pac","pundit","long","super"
"22","israel","georgia","terror","tortur","terrorist","cyber","crime","threat","human","network"
"23","corpor","ð²ð","compact","doug","lobbyist","ceo","fair","profit","gain","generat"
"24","exempt","dollar","congress","subsidi","reform","earmark","agreement","citizen","agenc","taxpay"
"25","patient","coverag","qualiti","insur","drug","health","medic","doctor","care","premium"
"26","hillari","guilti","clinton","donor","border","illeg","corrupt","donat","lie","african-american"
"27","audienc","folk","member","boo","romney","michell","everybodi","basic","got","weve"
"28","freedom","enterpris","chart","bureaucrat","innov","strength","regul","transform","bar","mitt"
"29","conserv","god","principl","waterloo","bless","brother","jackson","parti","wisconsin","constitut"
"30","bulli","woman","lgbtq","women","disabl","equal","lauren","join","progress","maryland"
"31","ohio","strickland","york","governor","ohioan","robert","small","lieuten","hed","upstat"
"32","isi","mexico","nice","win","gonna","theyr","hillari","shes","stupid","disast"
"33","mortgag","foreclosur","crisi","lender","homeown","hous","confid","financi","emerg","bank"
"34","iran","diplomaci","war","iraq","combat","iraqi","troop","weapon","convent","bush"
"35","someon","pennsylvania","rick","karen","counti","santorum","ladi","somerset","race","town"
"36","michigan","entitl","dakota","societi","detroit","burden","cafe","north","welfar","balanc"
"37","black","king","patriot","racial","church","anger","reverend","faith","wright","perfect"
"38","champion","bet","audienc","ohio","quo","everybodi","wisconsin","status","deficit","chang"
"39","romney","mitt","number","flag","four","audienc","ryan","hes","five","portman"
"40","teacher","student","educ","school","colleg","teach","graduat","scienc","charter","math"
"41","autism","mother","father","children","child","parent","daughter","childcar","girl","son"
"42","webb","rural","farm","vietnam","alright","farmer","sort","tradit","agricultur","welcom"
"43","african-american","inner","hillari","childcar","citi","crime","polic","clinton","violent","obama-clinton"
"44","trade","labor","worker","agreement","union","nafta","china","manufactur","play","plant"
"45","matthew","obama","unidentifi","femal","hardbal","planetarium","barack","somebodi","west","intellig"
