"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","boo","audienc","romney","ohio","deficit","member","got","path","math","cut","weve","folk","vote","wind","everybodi"
"2","trump","donald","tim","zero","realli","oppon","everybodi","insult","vote","regist","steel","everyon","chines","paid","prove"
"3","tonight","iowa","readi","hampshir","grate","democrat","shes","voic","stand","heat","race","carolina","count","thank","deserv"
"4","enterpris","barack","promis","obamacar","vision","unemploy","obama","four","government-cent","societi","debt","disappoint","dreamer","failur","free"
"5","maddow","sander","rachel","trump","parti","abort","secretari","donald","deleg","media","nomin","remark","suspens","republican","super"
"6","immigr","trip","muslim","affirm","question","journalist","sing","everybodi","nativ","granddaught","impress","posit","realli","qaida","somebodi"
"7","mccain","street","crisi","rescu","wall","main","tax","relief","fundament","eight","ill","invest","philosophi","moment","page"
"8","fuel","coal","explor","emiss","ethanol","fuel-effici","carbon","electr","energi","shale","produc","automak","relianc","oil","biofuel"
"9","donald","nuclear","gun","putin","trump","weapon","bruce","gabbi","strategi","automobil","launch","quot","gramm","russian","friend"
"10","oil","gas","energi","drill","planet","mccain","renew","price","solar","effici","gallon","clean","wind","long-term","car"
"11","retir","senior","social","save","pension","secur","account","match","bankruptci","middle-class","benefit","invis","fiscal","incom","grandpar"
"12","mccain","john","georg","fear","polit","twenty-on","bush","lobbyist","divid","common","moment","deep","houston","chang","month"
"13","obama","senat","fight","spend","tax","joe","yes","rais","spread","wealth","courag","dollar","drill","small","wont"
"14","gold","paul","bail","minnesota","ron","reserv","feder","truth","constitut","monetari","print","spend","liberti","debt","money"
"15","wage","minimum","jail","hour","drug","vermont","billionair","virginia","berni","west","decent","maryland","janet","action","immigr"
"16","sander","hay","matthew","chris","chicago","question","berni","vote","legal","univers","yes","guy","polic","judg","movement"
"17","michigan","rate","competit","market","gonna","train","creat","tax","econom","reduc","trust","growth","unfortun","stock","worker"
"18","financi","taxpay","fanni","lobbyist","oversight","freddi","crisi","card","mae","street","wall","reform","washington","abus","institut"
"19","iraqi","veteran","iraq","troop","soldier","deploy","injuri","civilian","uniform","wound","serv","afghanistan","sectarian","grandfath","brave"
"20","romney","obamacar","number","seal","jim","mitt","budget","governor","farm","jersey","balanc","advantag","guy","product","gas"
"21","joe","biden","tonight","journey","fork","road","pac","pundit","long","super","wilmington","diplomaci","safer","scranton","endless"
"22","israel","georgia","terror","tortur","terrorist","cyber","crime","threat","human","network","prison","islam","russian","crimin","weapon"
"23","corpor","ð²ð","compact","doug","lobbyist","ceo","fair","profit","gain","generat","sharehold","moral","mill","worker","code"
"24","exempt","dollar","congress","subsidi","reform","earmark","agreement","citizen","agenc","taxpay","seek","market","reckless","altern","often"
"25","patient","coverag","qualiti","insur","drug","health","medic","doctor","care","premium","cost","hospit","expens","diseas","provid"
"26","hillari","guilti","clinton","donor","border","illeg","corrupt","donat","lie","african-american","email","fbi","flint","immigr","novemb"
"27","audienc","folk","member","boo","romney","michell","everybodi","basic","got","weve","theori","bargain","hire","vision","class"
"28","freedom","enterpris","chart","bureaucrat","innov","strength","regul","transform","bar","mitt","pursu","sackett","assault","religi","constitut"
"29","conserv","god","principl","waterloo","bless","brother","jackson","parti","wisconsin","constitut","reagan","freedom","love","enemi","seek"
"30","bulli","woman","lgbtq","women","disabl","equal","lauren","join","progress","maryland","colleagu","discrimin","suffrag","law","advoc"
"31","ohio","strickland","york","governor","ohioan","robert","small","lieuten","hed","upstat","excit","busi","toledo","fargo","dave"
"32","isi","mexico","nice","win","gonna","theyr","hillari","shes","stupid","disast","here","japan","babi","happen","tremend"
"33","mortgag","foreclosur","crisi","lender","homeown","hous","confid","financi","emerg","bank","buyer","loan","fund","address","crise"
"34","iran","diplomaci","war","iraq","combat","iraqi","troop","weapon","convent","bush","nuclear","diplomat","georg","threat","intellig"
"35","someon","pennsylvania","rick","karen","counti","santorum","ladi","somerset","race","town","document","gentlemen","tonight","freedom","declar"
"36","michigan","entitl","dakota","societi","detroit","burden","cafe","north","welfar","balanc","manufactur","cours","automot","standard","industri"
"37","black","king","patriot","racial","church","anger","reverend","faith","wright","perfect","injustic","justic","march","bend","white"
"38","champion","bet","audienc","ohio","quo","everybodi","wisconsin","status","deficit","chang","member","storm","auto","voic","gridlock"
"39","romney","mitt","number","flag","four","audienc","ryan","hes","five","portman","take-hom","militari","yeah","ohio","loser"
"40","teacher","student","educ","school","colleg","teach","graduat","scienc","charter","math","classroom","tuition","chicago","behind","centuri"
"41","autism","mother","father","children","child","parent","daughter","childcar","girl","son","leav","foundat","arkansa","rock","bob"
"42","webb","rural","farm","vietnam","alright","farmer","sort","tradit","agricultur","welcom","associ","des","moin","area","internet"
"43","african-american","inner","hillari","childcar","citi","crime","polic","clinton","violent","obama-clinton","illeg","rig","total","massiv","refuge"
"44","trade","labor","worker","agreement","union","nafta","china","manufactur","play","plant","outsourc","wage","steel","organ","green"
"45","matthew","obama","unidentifi","femal","hardbal","planetarium","barack","somebodi","west","intellig","tour","pray","qaeda","pastor","loan"
