"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","ideal","intend","selfinterest","charact","servant","defend","ambit","trust","prefer","wisdom","privileg","disciplin","convict","academi","virtu"
"2","think","question","issu","yes","say","one","point","posit","absolut","fact","differ","mean","answer","agre","mention"
"3","children","father","mother","child","parent","born","grandpar","stori","boy","earli","taught","famili","chanc","childhood","poverti"
"4","poverti","citi","futur","inner","fail","tire","prosper","dream","agenda","failur","rebuild","new","american","detroit","steel"
"5","donald","crook","trump","dishonest","hell","unbeliev","putin","stupid","gonna","email","hillari","russia","horribl","nice","lie"
"6","schieffer","edward","elizabeth","bob","betray","harri","silenc","escal","dodd","democrat","combat","john","hedg","iraq","kuwait"
"7","emiss","carbon","ethanol","greenhous","fuel","vehicl","effici","pollut","climat","electr","util","automak","warm","captrad","environment"
"8","interest","special","reform","dollar","politician","corpor","lobbyist","big","regul","power","trillion","broken","fix","washington","favor"
"9","invis","middleclass","retir","match","employ","outlin","estat","incom","enrol","pension","workforc","childcar","deposit","save","six"
"10","abort","warren","marriag","christian","religion","prolif","embryo","faith","religi","church","sex","faithbas","cell","bibl","stem"
"11","situat","effect","whether","consid","basic","larg","engag","certain","problem","view","democraci","enorm","consequ","structur","concern"
"12","matthew","sander","hay","cuomo","daili","mitchel","berni","chris","schultz","bash","news","trump","donald","okay","billionair"
"13","social","medicar","retir","senior","secur","budget","save","privat","spend","benefit","age","feder","cut","fiscal","retire"
"14","fight","vote","stand","elect","believ","whether","choic","matter","win","fought","away","live","count","voic","day"
"15","hanniti","palin","couric","roberta","wallac","sarah","sean","mccain","gonna","smith","alaska","underdog","sen","naval","john"
"16","ohio","toledo","wisconsin","pension","cincinnati","strickland","cleveland","youngstown","unknown","kaptur","ryan","ohioan","columbus","sherrod","akron"
"17","can","also","support","done","togeth","way","commit","help","enough","begin","put","learn","move","everi","know"
"18","russert","richardson","tim","thompson","huckabe","mmhmm","biden","dodd","alqaeda","saddam","rudi","inspector","hussein","giuliani","brief"
"19","â â ","usa","mitt","â number","takehom","number","entrepreneur","flag","guy","cheat","enterpris","olymp","romney","sandwich","lech"
"20","drill","oil","gas","gallon","price","energi","barrel","solar","fuel","biofuel","renew","sourc","pump","coal","wind"
"21","student","colleg","loan","graduat","tuition","educ","young","grant","skill","debt","kid","aid","school","univers","fouryear"
"22","veteran","guard","injuri","arizona","serv","barri","disabl","servic","mental","appoint","command","access","owe","graham","friendship"
"23","oversight","financi","taxpay","regulatori","wall","bank","street","treasuri","fed","crisi","bailout","greed","philosophi","paulson","deregul"
"24","journey","kennedi","fear","cynic","divid","stood","tonight","versus","voic","moment","parti","began","houston","improb","heal"
"25","get","lot","peopl","realli","think","talk","start","work","everybodi","import","somebodi","actual","anybodi","around","tri"
"26","iran","iranian","nuclear","sanction","weapon","regim","materi","arsenal","missil","hezbollah","ahmadinejad","enrich","russia","israel","russian"
"27","get","presid","famili","back","million","better","good","afford","give","turn","can","see","let","start","find"
"28","michell","theori","grandpar","folk","everybodi","basic","robinson","stalem","outstand","audienc","bet","bargain","boo","member","deficit"
"29","judici","judg","court","constitut","suprem","branch","judiciari","properti","federalist","amend","firearm","confirm","framer","gun","limit"
"30","florida","miami","olymp","floridian","tampa","jacksonvill","vision","beach","kathi","lath","plaster","tallahasse","nelson","aluminum","spirit"
"31","webb","rural","farm","grandfath","sacr","enlist","vietnam","farmer","hero","cemeteri","dunham","agricultur","pearl","veteran","uniform"
"32","blitzer","unidentifi","rose","wolf","femal","male","economist","opec","interview","clinton","windfal","alzheim","hama","charli","dnc"
"33","deserv","everyon","bulli","congresswoman","cherish","chelsea","tonight","lgbtq","equal","color","amaz","grate","mexico","inclus","jackson"
"34","patient","doctor","coverag","insur","nurs","premium","medic","autism","drug","health","hospit","diseas","cover","treatment","diabet"
"35","want","say","just","tell","come","like","call","hear","back","time","even","heard","rememb","ask","els"
"36","stephanopoulo","brokaw","sen","gibson","mccain","king","larri","bash","timet","vice","surg","poll","powel","glad","date"
"37","trade","labor","nafta","agreement","union","manufactur","worker","china","wage","plant","corpor","canada","play","bargain","unfair"
"38","champion","bet","quo","status","everybodi","storm","chang","audienc","gridlock","deficit","auto","wisconsin","engin","member","car"
"39","teacher","charter","classroom","school","teach","educ","student","district","grade","scholarship","child","test","math","princip","score"
"40","need","make","new","countri","take","next","ask","sure","know","end","chang","state","send","home","keep"
"41","tapper","romnesia","mess","contracept","choos","taxpayerfund","audienc","virginia","romney","bankrupt","governor","pitch","member","philosophi","gay"
"42","got","know","said","thing","look","happen","well","take","make","way","went","done","put","much","gone"
"43","islam","radic","cyber","isi","libya","refuge","obamaclinton","oppress","screen","terror","bernardino","warfar","hillari","san","visa"
"44","bullet","king","march","reverend","joshua","memphi","injustic","mose","racial","black","lewi","selma","moran","bishop","riot"
"45","constru","patienc","sacrific","tactic","soldier","guard","enemi","rifl","defeat","wider","airmen","mistak","battl","valor","summon"
"46","iraqi","sectarian","troop","iraq","baghdad","sunni","withdraw","reconcili","insurg","militia","soldier","strategi","wound","surg","escal"
"47","now","talk","right","chang","republican","polit","let","candid","just","someth","state","point","clear","year","presid"
