"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","boo","romney","audienc","deficit","ohio","got","member","cut","path","folk"
"2","donald","tim","trump","kain","zero","regist","prove","insult","print","everybodi"
"3","conserv","principl","debat","washington","truth","seek","candid","judgment","beat","ideal"
"4","caucus","bob","iowan","arkansa","kerrey","leav","shes","shannon","conni","begin"
"5","trump","maddow","stupid","ford","gonna","mexico","hell","nice","rachel","theyr"
"6","donald","gun","nuclear","trump","putin","kindergarten","weapon","brain","realli","secretari"
"7","champion","bet","audienc","ohio","quo","status","chang","wisconsin","everybodi","deficit"
"8","gonna","compet","rate","societi","key","welfar","entitl","corpor","sector","creat"
"9","maryland","king","caus","injustic","wage","justic","immigr","action","janet","faith"
"10","trade","agreement","worker","manufactur","china","corpor","plant","enforc","industri","youngstown"
"11","retir","senior","social","save","pension","secur","benefit","match","invis","account"
"12","michigan","florida","trip","affirm","journalist","voic","nativ","count","reprocess","john"
"13","matthew","obama","applaus","think","unidentifi","somebodi","paul","cheer","intellig","clinton"
"14","explor","coal","fuel","electr","environment","produc","ethanol","emiss","shale","natur"
"15","oil","gas","planet","energi","renew","biofuel","drill","fuel","effici","car"
"16","mccain","john","street","moment","eight","month","main","afford","wall","crisi"
"17","gold","bail","minnesota","feder","spend","constitut","debt","monetari","reserv","print"
"18","iraqi","iraq","troop","veteran","sectarian","war","qaeda","region","combat","afghanistan"
"19","sander","matthew","hay","berni","jail","billionair","super","chris","incarcer","gay"
"20","israel","palestinian","iran","weapon","nuclear","peac","terror","iranian","regim","threat"
"21","sovereign","middle-class","veto","fund","bush","deriv","assist","price","wealth","increas"
"22","oversight","taxpay","fanni","freddi","financi","mae","crisi","institut","broken","lobbyist"
"23","somerset","counti","devalu","karen","microphon","beauti","founder","laughter","sing","currenc"
"24","carolina","south","hampshir","tonight","congratul","primari","hillari","volunt","theyd","determin"
"25","georgia","isi","syrian","russian","assad","syria","crime","tortur","terrorist","crimin"
"26","patient","coverag","insur","drug","qualiti","doctor","health","care","medic","premium"
"27","youngstown","readi","tonight","barrier","pennsylvania","diplomaci","solut","endless","lace","belt"
"28","ð²ð","union","card","labor","worker","corpor","compact","ceo","pension","bankruptci"
"29","heat","democrat","georg","stand","wisconsin","seven","turn","bush","health","nomine"
"30","bank","growth","regulatori","financi","institut","capit","wall","street","rate","fed"
"31","hillari","clinton","african-american","guilti","inner","illeg","email","donor","rig","lie"
"32","enterpris","freedom","transform","innov","free","healthcar","government-cent","vision","pursu","dreamer"
"33","strickland","zanesvill","ohio","ohioan","governor","lieuten","upstat","york","corzin","dave"
"34","audienc","folk","member","boo","romney","michell","everybodi","basic","got","weve"
"35","virginia","west","waterloo","jackson","god","grate","re-elect","florenc","win","deleg"
"36","webb","rural","catt","farm","lgbtq","moder","suffrag","women","vietnam","compens"
"37","penc","indiana","mike","unbeliev","tremend","shes","horribl","hillari","win","mexico"
"38","mortgag","foreclosur","homeown","lender","subprim","lend","loan","stimulus","crisi","packag"
"39","karen","rick","someon","santorum","pennsylvania","gentlemen","town","missouri","bella","race"
"40","teacher","student","school","educ","graduat","teach","classroom","charter","parent","kid"
"41","cheer","applaus","romney","mitt","four","number","flag","take-hom","ryan","obamacar"
"42","tonight","dinner","houston","smith","fear","ann","iowa","friendship","joe","journey"
"43","obama","tax","senat","spend","promis","drill","dollar","rais","joe","spread"
"44","autism","mother","father","sara","childcar","salli","seeli","grandmoth","parent","byrd"
"45","black","patriot","racial","church","king","reverend","wright","prison","anger","justic"
