"","tradetopicscore"
"1",9404
"2",9683
"3",8513
"4",7784
"5",7292
"6",366
"7",3501
"8",11301
"9",11231
"10",10893
"11",5566
"12",9098
"13",7339
"14",7128
"15",12160
"16",1518
"17",5732
"18",6963
"19",1289
"20",1073
"21",7368
"22",3694
"23",5621
"24",9200
"25",7583
"26",2141
"27",6773
"28",6930
"29",7398
"30",189
"31",11651
"32",11970
"33",9614
"34",11966
"35",2243
"36",10373
"37",4683
"38",102
"39",3949
"40",9017
"41",5509
"42",8740
"43",6450
"44",9091
"45",11968
"46",8318
"47",10398
"48",11347
"49",6292
"50",2974
"51",3606
"52",12262
"53",3004
"54",1619
"55",10430
"56",4861
"57",6893
"58",10304
"59",3341
"60",3829
"61",4434
"62",7007
"63",12500
"64",8400
"65",8999
"66",6829
"67",4684
"68",10196
"69",6108
"70",7497
"71",8933
"72",7353
"73",5268
"74",7906
"75",3542
"76",9331
"77",8368
"78",3933
"79",2144
"80",10214
"81",4258
"82",1928
"83",18
"84",12033
"85",6349
"86",7730
"87",10217
"88",3910
"89",9387
"90",4635
"91",7977
"92",9067
"93",530
"94",2131
"95",591
"96",9090
"97",5963
"98",12335
"99",2741
"100",1605
"101",8392
"102",8019
"103",8768
"104",7713
"105",2311
"106",1032
"107",11479
"108",3140
"109",7053
"110",1901
"111",179
"112",1876
"113",2349
"114",987
"115",2342
"116",5976
"117",2519
"118",11321
"119",9775
"120",4568
"121",11819
"122",2778
"123",8856
"124",9181
"125",549
"126",10717
"127",3795
"128",11083
"129",3395
"130",9544
"131",4545
"132",5794
"133",6931
"134",1584
"135",1125
"136",8863
"137",4083
"138",3661
"139",1646
"140",10683
"141",4129
"142",7291
"143",10725
"144",10212
"145",2652
"146",112
"147",6118
"148",8542
"149",6362
"150",3796
"151",1129
"152",12339
"153",6192
"154",4335
"155",11796
"156",2592
"157",7143
"158",10197
"159",2713
"160",1886
"161",10978
"162",7335
"163",5723
"164",10884
"165",7890
"166",11648
"167",3013
"168",1608
"169",12013
"170",2748
"171",203
"172",9760
"173",8709
"174",2672
"175",3790
"176",12683
"177",1394
"178",12093
"179",4896
"180",1771
"181",7483
"182",4443
"183",6164
"184",10892
"185",8198
"186",7871
"187",1141
"188",1059
"189",9029
"190",2034
"191",3719
"192",10327
"193",4655
"194",536
"195",5497
"196",1930
"197",8271
"198",3675
"199",6823
"200",6827
"201",3325
"202",6113
"203",5179
"204",5156
"205",6163
"206",2805
"207",12390
"208",3375
"209",2871
"210",5627
"211",11303
"212",9822
"213",2344
"214",3357
"215",7293
"216",4035
"217",7796
"218",10817
"219",1791
"220",833
"221",10450
"222",2699
"223",6735
"224",10894
"225",10223
"226",7253
"227",2593
"228",9088
"229",2255
"230",3714
"231",10926
"232",1097
"233",5377
"234",9074
"235",9206
"236",12437
"237",1239
"238",6319
"239",5241
"240",8484
"241",8009
"242",941
"243",676
"244",12315
"245",3220
"246",5406
"247",3762
"248",11272
"249",1472
"250",3198
"251",8488
"252",4289
"253",3026
"254",10346
"255",4959
"256",8804
"257",10446
"258",4155
"259",3277
"260",2859
"261",3921
"262",4224
"263",10654
"264",4479
"265",2962
"266",2606
"267",8957
"268",4465
"269",5727
"270",7499
"271",4659
"272",1823
"273",11145
"274",8275
"275",11195
"276",2521
"277",2454
"278",9146
"279",2757
"280",2637
"281",10507
"282",4668
"283",3841
"284",9267
"285",9137
"286",2192
"287",9478
"288",10257
"289",2916
"290",2132
"291",11393
"292",9855
"293",9196
"294",8710
"295",3569
"296",2923
"297",8877
"298",6718
"299",8486
"300",8498
"301",9809
"302",10749
"303",422
"304",12045
"305",1263
"306",10964
"307",6210
"308",3260
"309",4351
"310",2233
"311",10585
"312",141
"313",10372
"314",3158
"315",899
"316",11927
"317",4764
"318",584
"319",3462
"320",4644
"321",3484
"322",210
"323",8375
"324",1403
"325",2285
"326",11293
"327",11164
"328",5708
"329",7012
"330",9634
"331",3697
"332",576
"333",2659
"334",2582
"335",3776
"336",3786
"337",9484
"338",2421
"339",574
"340",11987
"341",2767
"342",5696
"343",4044
"344",6868
"345",1555
"346",154
"347",1763
"348",2914
"349",964
"350",3474
"351",550
"352",9432
"353",523
"354",3052
"355",6055
"356",10237
"357",4920
"358",11982
"359",178
"360",8102
"361",1231
"362",6356
"363",6378
"364",8528
"365",4747
"366",1726
"367",10554
"368",7515
"369",10601
"370",8962
"371",3662
"372",7016
"373",5011
"374",915
"375",6221
"376",9257
"377",11414
"378",7884
"379",11200
"380",1079
"381",301
"382",1223
"383",2106
"384",11434
"385",5638
"386",7288
"387",3050
"388",7760
"389",9008
"390",8468
"391",8244
"392",9698
"393",9782
"394",1189
"395",12127
"396",11319
"397",1606
"398",12287
"399",6244
"400",3695
"401",3982
"402",3300
"403",5415
"404",1951
"405",6869
"406",9177
"407",736
"408",2931
"409",2288
"410",7567
"411",8930
"412",2119
"413",5122
"414",8461
"415",629
"416",4284
"417",10835
"418",3580
"419",150
"420",1740
"421",2137
"422",12311
"423",543
"424",7868
"425",4603
"426",5333
"427",9787
"428",5006
"429",1078
"430",5872
"431",673
"432",11619
"433",4021
"434",1208
"435",8552
"436",7848
"437",10497
"438",1670
"439",8183
"440",6705
"441",2843
"442",6425
"443",3557
"444",6087
"445",5722
"446",968
"447",1677
"448",726
"449",9359
"450",9472
"451",6193
"452",4491
"453",10328
"454",129
"455",9794
"456",2319
"457",646
"458",8222
"459",880
"460",8507
"461",9287
"462",6991
"463",8822
"464",8573
"465",8149
"466",10710
"467",8698
"468",11659
"469",5614
"470",8194
"471",11941
"472",4115
"473",6717
"474",6186
"475",4814
"476",3160
"477",1784
"478",5922
"479",11939
"480",3345
"481",1857
"482",12020
"483",7706
"484",8579
"485",2388
"486",11315
"487",9417
"488",1727
"489",6662
"490",2889
"491",9079
"492",6672
"493",7733
"494",2827
"495",2179
"496",5978
"497",8953
"498",8767
"499",6242
"500",10281
"501",785
"502",9041
"503",3470
"504",9412
"505",10803
"506",7979
"507",2991
"508",9663
"509",10023
"510",4757
"511",10866
"512",2626
"513",7575
"514",11022
"515",9785
"516",11891
"517",9024
"518",6072
"519",10026
"520",7051
"521",3728
"522",5683
"523",5659
