"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","iowa","hampshir","campaign","januari","excerpt","caucus","remark","congratul","gerhard","httpwwwpresidencyucsbeduwspid"
"2","autism","veteran","bullet","pension","injuri","walter","guard","reed","wound","mental"
"3","deleg","nomine","contest","primari","voter","clinton","nomin","tuesday","won","democrat"
"4","mitt","romney","ann","ryan","paul","scout","nasa","shuttl","space","flag"
"5","boo","romnesia","audienc","colorado","homegrown","choos","member","preexist","romney","governor"
"6","indian","contract","ð²ð","lobbyist","nativ","-bid","tribal","lobbi","contractor","revolv"
"7","donald","trump","lgbt","insult","fairer","excit","kain","everyon","regist","gun"
"8","oreilli","obama","wright","brokaw","reverend","pastor","sarkozi","church","pakistan","sen"
"9","trump","donald","unbeliev","e-mail","horribl","gonna","stupid","isi","crook","dishonest"
"10","matthew","giuliani","rose","thompson","-mike","question","mayor","yes","rudi","york"
"11","tapper","stephanopoulo","huckabe","camerota","gun","classifi","axelrod","e-mail","jake","schieffer"
"12","blitzer","wallac","hanniti","mccain","sen","palin","gibson","sarah","wolf","stephanopoulo"
"13","retir","tax","code","retire","spend","social","growth","fiscal","wealth","incom"
"14","michell","folk","basic","grandpar","bargain","theori","everybodi","audienc","robinson","member"
"15","russert","edward","tim","biden","saddam","schieffer","mm-hmm","inspector","resolut","al-qaeda"
"16","mother","disabl","women","invis","childcar","workplac","woman","parent","daughter","catt"
"17","michigan","greec","greek","theâ","schieffer","euro","auster","manufactur","gdp","detroit"
"18","financi","bank","wall","street","oversight","taxpay","fanni","ceo","crisi","investor"
"19","usa","number","torch","mitt","obamacar","loser","take-hom","flag","cheat","event"
"20","mortgag","foreclosur","broker","dickerson","buyer","todd","lender","homeownership","subprim","payment"
"21","enemi","greater","endur","ideal","patriot","privileg","intend","honor","ambit","humil"
"22","israel","palestinian","iranian","iran","isra","hezbollah","syria","isi","hama","regim"
"23","richardson","immigr","mexico","illeg","webb","undocu","latino","hispan","legal","rubio"
"24","paul","liberti","ron","monetari","print","fed","bail","gold","reserv","constitut"
"25","patient","coverag","nurs","doctor","insur","medic","cover","health","hospit","qualiti"
"26","champion","bet","quo","wisconsin","ohio","status","chang","audienc","storm","gridlock"
"27","mccain","relief","eight","middle-class","invest","afford","main","ill","georg","street"
"28","iraqi","iraq","troop","sectarian","qaeda","withdraw","afghanistan","surg","sunni","brigad"
"29","santorum","gentlemen","karen","tonight","ladi","rick","somerset","missouri","pennsylvania","bella"
"30","nato","allianc","materi","nuclear","pakistan","cold","weapon","latin","threat","qaeda"
"31","fuel","carbon","emiss","effici","energi","climat","oil","ethanol","electr","technolog"
"32","hillari","email","african-american","inner","nafta","donor","corrupt","rig","fbi","refuge"
"33","teacher","scienc","student","school","urban","educ","math","charter","research","classroom"
"34","abort","judici","judg","court","marriag","constitut","suprem","pro-lif","embryo","amend"
"35","boo","deficit","millionair","audienc","kick","trillion","cut","gateway","wind","oppon"
"36","king","drill","joe","larri","cook","senat","dodd","offshor","mccain","obama"
"37","orlean","dillard","desk","commenc","corp","storm","academi","americorp","fema","waterloo"
"38","black","injustic","king","naacp","march","reverend","justic","memphi","selma","african"
"39","sander","berni","billionair","hay","vermont","cuomo","daili","turnout","pac","chris"
"40","warren","aid","faith-bas","brown","faith","malaria","saddleback","christian","forum","bibl"
"41","crystal","patterson","strickland","ohio","union","upstat","sleev","labor","connecticut","ohioan"
"42","gingrich","newt","cain","herman","ð²ð","infrastructur","gasolin","traffic","newtorg","pipelin"
"43","enterpris","recoveri","unemploy","bureaucrat","vision","obamacar","freedom","regul","entitl","dream"
"44","readi","tonight","dream","cheer","stood","voic","stand","applaus","journey","moment"
"45","conserv","conservat","strength","liber","jihad","evil","reagan","ronald","swim","strengthen"
