"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","dodd","harri","stephanopoulo","resolut","caucus","connecticut","mrs","skeptic","sort","gun"
"2","edward","biden","lobbyist","corpor","escal","settlement","author","compact","mill","moral"
"3","huckabe","arkansa","mike","axelrod","cheer","straw","desk","campbel","ladi","gentlemen"
"4","richardson","mexico","mexican","realism","qaeda","latin","urgent","nuclear","rural","teacher"
"5","giuliani","mayor","york","nato","rudi","citi","interpret","excerpt","laughter","commission"
"6","invis","mortgag","clinton","nurs","foreclosur","ohio","hillari","blitzer","colleg","autism"
"7","thompson","fred","upon","tennesse","standpoint","principl","awhil","notion","charact","littl"
"8","romney","mitt","ann","massachusett","embryo","jihad","marriag","evil","michigan","dad"
"9","street","oreilli","obama","chicago","afford","relief","wall","black","barack","middle-class"
"10","hanniti","wallac","mccain","sen","drill","palin","obama","couric","succeed","arizona"
