"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","announc","candidaci","time","govern","remark","lead","woolley","believ","citat","httpwwwpresidencyucsbeduwspid","presid","gerhard","come","onlin","may","peter","polit","project","leader","end","ego","john","declar","american","way","run","never","say","second","turn"
"2","louisiana","hide","easi","applaus","lose","crowd","simpli","truth","cut","size","boat","religi","divid","repeal","bunch","talk","play","mess","reduc","tri","washington","accept","fine","embrac","border","somebodi","owe","afraid","replac","here"
"3","webb","inin","andand","toto","theth","alright","rural","ofof","farm","vietnames","vietnam","farmer","thatthat","agricultur","des","moin","associ","broadband","livestock","label","sort","welcom","earmark","hall","topic","internet","tradit","iowa","area","embargo"
"4","decad","york","child","small","parti","fear","couldnt","factori","lobbi","oversea","challeng","septemb","necessari","dream","unless","power","restor","middl","check","werent","real","accomplish","saw","innov","depress","ban","preserv","common","true","farm"
"5","desir","detroit","brain","terri","quarter","cheer","laughter","carson","murray","ratio","ineffici","trillion","turmoil","ruler","media","experi","correct","candi","gdp","mouth","ben","dime","escap","rate","can-","boston","book","stimulus","envis","dealer"
"6","graham","isil","iran","capac","homeland","ayatollah","inspect","assad","iranian","region","capabl","negoti","overwhelm","sanction","strategi","tabl","nuclear","deal","lindsey","obama-clinton","arab","embolden","moder","safe","regim","putin","crackdown","humanitarian","tehran","obama"
"7","christi","guilti","jersey","audienc","anxieti","livingston","governor","angri","rodham","secret","oval","qaida","lie","delet","truth","anymor","judgment","acknowledg","tonight","hard","weak","libya","castro","render","fbi","sheila","chines","present","six","calam"
"8","isra","israel","nato","alli","aipac","jewish","palestinian","natan","shown","signal","peril","memori","hurt","intern","valu","russia","strateg","combat","joint","europ","pari","syria","revit","relationship","disagr","allianc","implement","recommit","must","region"
"9","wisconsin","deserv","walker","david","taxpay","shirt","encount","reform","veteran","safeti","hostag","better","kohl","scott","juli","volum","washington","depend","hard-work","help","alex","won","clair","turner","local","curv","matt","insid","broaden","enact"
"10","dioxid","carbon","mason","destruct","liberia","peac","mass","endless","dispar","war","climat","africa","what","pollut","citizenship","chair","nativ","prime","benefici","diplomat","mubarak","address","rhode","minist","dinner","cedar","canada","integr","repair","controversi"
"11","trial","unknown","speaker","paul","defend","disproportion","-mike","vision","highway","amend","scandal","poor","plane","disappoint","stuff","eye","messag","detroit","kentucki","often","bill","ambassador","surgeri","surgeon","jewel","grandmoth","blind","arrest","appalachia","phone"
"12","rubio","tapper","centuri","english","marco","nomine","languag","global","yesterday","planet","confront","generat","tonight","degre","declin","point","parent","regul","embrac","florida","paycheck","technician","multipl","defin","sanction","prosper","stori","bankrupt","disrupt","father"
"13","sander","billionair","greec","matthew","hay","berni","cuomo","vermont","turnout","daili","wealthiest","super","mitchel","pension","greed","pac","chris","wealth","greek","maddow","jail","schultz","koch","euro","specul","blitzer","inequ","bash","pope","disappear"
"14","huckabe","russert","schieffer","stephanopoulo","axelrod","mike","mccain","arkansa","giuliani","romney","mitt","straw","pakistan","tim","tonight","campbel","mm-hmm","desk","baptist","timet","grate","rudi","michigan","musharraf","rent","magnific","hope","governor","bob","south"
"15","cruz","imagin","carolin","redstat","flight","rocket","netanyahu","ted","liberti","missil","lynch","hama","amnesti","bread","civilian","soldier","gather","incred","behead","cuba","michael","reid","conserv","januari","boycott","tortur","utter","stood","choos","inde"
"16","omalley","maryland","mayor","lgbtq","bulli","action","baltimor","dawson","polic","progress","injustic","janet","barb","martin","inclus","overtim","gun","selv","neighborhood","compassion","comprehens","row","citi","wire","digniti","collabor","debt-fre","neighbor","poet","truman"
"17","nafta","renegoti","rig","donor","trump","mexico","illeg","african-american","massiv","boo","inner","deport","email","crime","ship","shes","deplet","total","tpp","crimin","unbeliev","vet","fbi","pour","crook","center","dishonest","subpoena","stupid","nice"
"18","perri","explor","fanni","anita","texa","conservat","jess","freddi","willi","mortgag","dodd-frank","texan","bank","frivol","collin","downgrad","paint","creek","employ","bubbl","gas","recoveri","growth","balanc","spend","rick","hero","consum","regul","lawsuit"
"19","karen","pennsylvania","rick","gentlemen","contrast","grandfath","abort","folk","race","manufactur","ladi","worker","counti","oil","romney","gingrich","coal","dakota","societi","barack","missouri","stake","someon","steubenvill","immigr","minnesota","compet","health","littl","obamacar"
"20","florida","normal","miami","zone","recruit","leagu","urban","shape","tallahasse","email","growth","forc","citadel","moder","violent","borrow","jeb","charleston","fleet","aircraft","influenc","reagan","command","jonathan","soldier","deduct","serious","para","isi","percent"
"21","declar","control","govern","follow","remark","voic","step","peter","believ","watch","presid","citat","time","gerhard","httpwwwpresidencyucsbeduwspid","end","give","john","woolley","may","onlin","leader","project","polit","second","expect","join","founder","reimagin","ident"
"22","research","insur","mortgag","invis","foreclosur","health","blitzer","nurs","excit","patient","dickerson","afford","rose","cover","treatment","gun","oil","solar","thrill","middle-class","care","coverag","count","iraqi","univers","lender","stake","teacher","tim","compani"
"23","polit","class","end","citizen","lower","believ","broken","run","corrupt","may","time","enough","control","govern","presid","john","stand","join","way","remark","say","citat","need","second","tire","woolley","gerhard","american","peter","httpwwwpresidencyucsbeduwspid"
"24","fiorina","car","empow","citizen","ident","profession","intend","founder","sound","may","togeth","expect","forward","fix","class","polit","believ","declar","step","presid","voic","begin","watch","tire","join","lower","clinton","your","time","enough"
"25","bite","polit","citizen","end","second","begin","your","class","john","follow","govern","give","may","turn","believ","presid","enough","remark","expect","run","time","fix","gerhard","join","httpwwwpresidencyucsbeduwspid","way","citat","watch","togeth","woolley"
"26","hillari","citizen","fix","corrupt","end","time","clinton","never","remark","car","watch","togeth","begin","give","control","govern","presid","lower","believ","voic","project","tire","petti","your","follow","polit","know","say","american","broken"
"27","video","clinton","class","togeth","may","your","presid","believ","polit","begin","stand","end","turn","time","enough","forward","know","run","join","need","give","step","say","john","can","expect","follow","onlin","way","hillari"
"28","clip","clinton","your","class","may","togeth","presid","begin","polit","believ","end","stand","enough","know","forward","give","turn","time","run","need","join","say","john","way","can","expect","sound","step","onlin","govern"
"29","presid","clinton","may","togeth","begin","forward","believ","stand","give","know","your","end","time","step","turn","need","join","follow","sound","intend","voic","empow","run","leader","can","project","john","remot","way","govern"
