"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","togeth","may","clinton","begin","class","your","forward","presid","believ","turn","enough","end","time","polit","give","stand","step","join","run","hillari"
"2","louisiana","hide","easi","applaus","lose","simpli","crowd","truth","size","cut","boat","religi","divid","bunch","repeal","talk","mess","play","reduc","washington"
"3","webb","inin","andand","toto","theth","alright","rural","ofof","farm","vietnames","vietnam","farmer","thatthat","agricultur","des","moin","associ","broadband","livestock","label"
"4","decad","york","child","small","parti","fear","factori","couldnt","lobbi","oversea","septemb","necessari","challeng","restor","werent","unless","dream","middl","check","power"
"5","desir","detroit","brain","quarter","terri","cheer","laughter","carson","murray","ratio","ineffici","turmoil","trillion","ruler","media","experi","correct","candi","gdp","mouth"
"6","graham","isil","capac","homeland","iran","ayatollah","inspect","assad","iranian","capabl","region","negoti","overwhelm","sanction","strategi","tabl","nuclear","lindsey","obama-clinton","deal"
"7","christi","guilti","jersey","audienc","anxieti","livingston","governor","angri","rodham","secret","oval","qaida","lie","delet","truth","anymor","judgment","acknowledg","tonight","weak"
"8","isra","israel","nato","alli","aipac","jewish","palestinian","shown","natan","signal","peril","hurt","memori","intern","russia","strateg","valu","europ","joint","pari"
"9","wisconsin","deserv","walker","david","taxpay","shirt","encount","reform","veteran","safeti","hostag","kohl","scott","volum","juli","washington","better","hard-work","depend","alex"
"10","dioxid","carbon","mason","destruct","liberia","peac","dispar","endless","mass","war","climat","africa","what","pollut","chair","citizenship","nativ","prime","diplomat","rhode"
"11","trial","unknown","speaker","paul","disproportion","-mike","vision","defend","highway","scandal","amend","plane","disappoint","poor","stuff","eye","detroit","messag","kentucki","often"
"12","rubio","tapper","centuri","english","marco","nomine","languag","yesterday","global","planet","confront","tonight","degre","declin","generat","point","regul","parent","paycheck","florida"
"13","sander","billionair","greec","matthew","hay","berni","cuomo","vermont","turnout","daili","wealthiest","super","mitchel","pension","greed","pac","chris","wealth","greek","maddow"
"14","huckabe","russert","schieffer","stephanopoulo","axelrod","mike","mccain","arkansa","giuliani","romney","mitt","straw","pakistan","tim","tonight","campbel","mm-hmm","desk","baptist","timet"
"15","cruz","imagin","carolin","redstat","flight","rocket","netanyahu","ted","liberti","missil","lynch","soldier","hama","bread","amnesti","civilian","incred","gather","behead","michael"
"16","omalley","maryland","mayor","lgbtq","bulli","action","baltimor","dawson","polic","progress","injustic","janet","barb","inclus","martin","overtim","gun","selv","neighborhood","comprehens"
"17","nafta","renegoti","rig","donor","trump","mexico","illeg","massiv","african-american","boo","inner","deport","crime","email","ship","shes","deplet","tpp","unbeliev","crimin"
"18","perri","explor","fanni","anita","conservat","jess","texa","freddi","willi","mortgag","dodd-frank","texan","bank","downgrad","collin","frivol","paint","creek","employ","recoveri"
"19","karen","pennsylvania","rick","gentlemen","grandfath","contrast","abort","folk","manufactur","race","ladi","worker","counti","oil","romney","gingrich","dakota","coal","societi","missouri"
"20","florida","miami","normal","zone","recruit","leagu","urban","shape","tallahasse","email","growth","citadel","forc","violent","charleston","fleet","borrow","moder","jeb","aircraft"
"21","polit","reimagin","may","expect","follow","watch","remark","join","second","believ","begin","govern","step","httpwwwpresidencyucsbeduwspid","fix","gerhard","citat","john","presid","peter"
"22","research","insur","mortgag","invis","foreclosur","blitzer","health","nurs","patient","dickerson","excit","rose","cover","afford","treatment","gun","solar","oil","thrill","middle-class"
"23","class","polit","end","may","enough","lower","believ","hillari","run","your","john","say","control","stand","togeth","time","clinton","presid","join","begin"
"24","fiorina","class","fix","may","polit","forward","step","expect","togeth","lower","believ","watch","hillari","join","begin","leader","presid","follow","remark","enough"
"25","bite","polit","class","togeth","begin","enough","end","your","presid","turn","time","clinton","may","forward","give","hillari","join","believ","run","john"
"26","petti","fix","watch","lower","remark","end","control","begin","never","clinton","time","follow","govern","second","project","polit","believ","presid","leader","class"
"27","video","clinton","class","togeth","may","your","polit","presid","believ","begin","turn","hillari","time","end","enough","forward","run","stand","join","step"
"28","clip","clinton","togeth","class","your","may","begin","polit","believ","presid","end","turn","enough","time","forward","hillari","stand","give","know","join"
"29","remot","presid","may","believ","end","forward","give","follow","time","project","join","remark","govern","know","onlin","begin","john","way","need","citat"
"30","televis","togeth","end","clinton","never","time","remark","polit","begin","your","watch","fix","give","lower","project","presid","turn","class","govern","believ"
"31","profession","togeth","presid","believ","begin","time","give","your","leader","turn","forward","join","may","remark","end","stand","class","enough","project","know"
"32","ident","control","step","never","time","watch","believ","lead","may","leader","presid","run","come","onlin","second","forward","enough","remark","follow","govern"
"33","car","clinton","togeth","time","never","believ","know","end","give","begin","hillari","remark","say","turn","your","govern","fix","lower","way","presid"
