"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","audienc","romney","deficit","got","boo","member","laughter","path","cut","choos"
"2","ohio","columbus","cleveland","toledo","cincinnati","crowd","vote","guy","won","your"
"3","judg","bench","tear","uproot","bettendorf","bureaucrat","branch","perri","broken","depart"
"4","champion","bet","audienc","wisconsin","quo","chang","status","everybodi","deficit","auto"
"5","donald","maddow","trump","virginia","deleg","gun","west","rachel","putin","democrat"
"6","brain","bob","caucus","question","trip","journalist","tri","begin","shannon","realli"
"7","tonight","iowa","caucus","laughter","dinner","hampshir","smith","januari","des","moin"
"8","michigan","detroit","florida","drill","mccain","voic","count","nuclear","offshor","gramm"
"9","agreement","trade","worker","card","nafta","corpor","wage","plant","china","fair"
"10","gonna","entitl","rate","compet","societi","sammi","detroit","welfar","key","sector"
"11","senior","social","secur","invis","grandpar","benefit","medicar","fiscal","term","age"
"12","tax","obama","spend","dollar","senat","low","spread","wont","rais","busi"
"13","trump","donald","tim","zero","insult","everybodi","kain","realli","regist","print"
"14","cheer","âxx","inaud","romney","mitt","number","four","applaus","flag","yeah"
"15","oil","gas","planet","energi","drill","biofuel","effici","renew","fuel","car"
"16","fear","georg","moment","chang","cynic","polit","common","illinoi","twenty-on","divid"
"17","gold","bail","ron","paul","minnesota","earmark","spend","truth","feder","monetari"
"18","israel","iran","palestinian","weapon","nuclear","terror","threat","peac","iranian","terrorist"
"19","iraqi","iraq","troop","veteran","sectarian","war","region","soldier","civilian","qaeda"
"20","explor","coal","vehicl","electr","shale","environment","produc","natur","product","fuel"
"21","middle-class","sovereign","fund","price","deriv","bush","knoxvill","declin","veto","wealth"
"22","sander","matthew","hay","berni","jail","billionair","chris","gay","inaud","super"
"23","mortgag","foreclosur","homeown","subprim","lender","stimulus","restructur","crisi","broker","hous"
"24","isi","georgia","syrian","syria","russian","assad","tortur","terrorist","terror","crime"
"25","patient","coverag","drug","insur","doctor","qualiti","health","care","medic","premium"
"26","bank","financi","regulatori","institut","growth","sharehold","street","wall","lender","capit"
"27","sweater","vest","stori","race","primari","texa","volunt","voic","weekend","hillari"
"28","youngstown","heat","oppon","readi","belt","solut","seven","stand","deliv","fulfil"
"29","biden","joe","bulli","maryland","action","immigr","omalley","tonight","gun","dream"
"30","retir","ð²ðxâxxc","pension","save","labor","union","match","compact","middle-class","account"
"31","trump","mexico","nice","applaus","stupid","penc","hell","isi","disast","tremend"
"32","hillari","african-american","guilti","clinton","inner","illeg","email","donor","rig","lie"
"33","strickland","ohioan","zanesvill","governor","upstat","lieuten","dave","corzin","robert","beth"
"34","somerset","missouri","document","freedom","counti","santorum","listen","devalu","founder","minnesota"
"35","student","teacher","educ","school","colleg","teach","graduat","faith-bas","parent","classroom"
"36","enterpris","freedom","transform","mitt","innov","free","healthcar","government-cent","dreamer","pursu"
"37","catt","teacher","women","school","âxx","grade","woman","lgbtq","student","suffrag"
"38","matthew","houston","cheer","chester","somebodi","unidentifi","hardbal","obama","applaus","base"
"39","autism","webb","rural","mother","farm","salli","sara","vietnam","virginia","father"
"40","rick","karen","pennsylvania","someon","santorum","steubenvill","town","southwestern","forg","race"
"41","audienc","member","folk","laughter","michell","got","basic","everybodi","romney","weve"
"42","mccain","eight","tax","street","main","crisi","rescu","wall","invest","middle-class"
"43","conserv","promis","principl","deserv","god","bold","waterloo","better","inherit","bless"
"44","king","black","reverend","justic","injustic","patriot","racial","prison","memphi","legaci"
"45","taxpay","oversight","fanni","mae","crisi","freddi","septemb","mac","financi","rescu"
