"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","mitt","romney","four","number","take-hom","ryan","audienc","hes","paul","obamacar"
"2","seek","joe","conserv","biden","principl","serv","man","waterloo","sacrific","truth"
"3","trump","donald","tim","gun","michigan","zero","regist","kain","vote","insult"
"4","labor","union","bob","alongsid","outsourc","kerrey","readi","caucus","conni","hospit"
"5","donald","maddow","trump","sander","secretari","rachel","clinton","media","putin","russian"
"6","immigr","trip","muslim","okay","affirm","journalist","everybodi","cincinnati","nativ","question"
"7","champion","bet","wisconsin","audienc","ohio","everybodi","deficit","auto","quo","status"
"8","gonna","rate","entitl","societi","sector","detroit","key","compet","welfar","level"
"9","trade","maryland","wage","agreement","immigr","minimum","janet","action","gun","sister"
"10","mccain","street","rescu","crisi","wall","eight","tax","main","philosophi","moment"
"11","webb","rural","retir","senior","social","farm","save","term","invis","secur"
"12","matthew","obama","barack","john","mccain","unidentifi","west","femal","hardbal","gramm"
"13","explor","coal","environment","electr","produc","ethanol","shale","fuel","emiss","natur"
"14","oil","gas","energi","fuel","car","renew","planet","biofuel","gallon","solar"
"15","mccain","john","twenty-on","georg","lobbyist","polit","divid","old","deep","chang"
"16","gold","bail","ron","paul","minnesota","constitut","spend","feder","monetari","print"
"17","iraqi","veteran","troop","civilian","sectarian","soldier","iraq","deploy","refuge","reed"
"18","sander","matthew","hay","berni","billionair","jail","chris","chicago","super","vote"
"19","israel","palestinian","iran","nuclear","weapon","iranian","regim","threat","peac","terrorist"
"20","sovereign","middle-class","veto","fund","deriv","bush","wealth","price","michigan","assist"
"21","brain","shannon","iowa","realli","kindergarten","mom","ð²ð","hard","childcar","leav"
"22","fanni","taxpay","freddi","oversight","mae","financi","mac","earmark","crisi","broken"
"23","romney","flag","christi","torch","number","obamacar","space","scout","land","shuttl"
"24","stori","vest","sweater","primari","texa","volunt","weekend","race","voic","prayer"
"25","isi","syrian","georgia","syria","assad","russian","terrorist","tortur","crime","arab"
"26","patient","insur","coverag","drug","qualiti","doctor","health","medic","care","premium"
"27","youngstown","belt","solut","manufactur","oppon","special","nafta","agreement","pennsylvania","china"
"28","card","ð²ð","corpor","worker","fair","credit","lobbyist","ceo","pension","bankruptci"
"29","democrat","heat","voic","stand","wisconsin","januari","deserv","seven","health","fulfil"
"30","bank","growth","regulatori","financi","institut","fed","wall","agenc","market","dodd-frank"
"31","enterpris","freedom","transform","innov","free","healthcar","vision","government-cent","dreamer","foster"
"32","hillari","clinton","african-american","guilti","inner","illeg","donor","lie","email","rig"
"33","strickland","ohio","zanesvill","ohioan","governor","upstat","lieuten","york","dave","corzin"
"34","audienc","boo","romney","member","folk","got","deficit","everybodi","michell","weve"
"35","virginia","west","god","jackson","deserv","grate","celebr","contest","wisconsin","win"
"36","catt","teacher","school","women","suffrag","woman","lgbtq","grade","moder","student"
"37","trump","mexico","nice","stupid","penc","hell","theyr","indiana","tremend","unbeliev"
"38","mortgag","foreclosur","homeown","lender","subprim","crisi","loan","restructur","broker","stimulus"
"39","karen","rick","someon","somerset","counti","pennsylvania","santorum","document","missouri","gentlemen"
"40","student","teacher","educ","school","graduat","colleg","teach","scienc","charter","classroom"
"41","tonight","dinner","houston","smith","ann","iowa","hampshir","rudi","journey","shes"
"42","obama","tax","spend","senat","promis","dollar","rais","spread","drill","low"
"43","autism","mother","sara","father","salli","seeli","byrd","club","grandmoth","son"
"44","king","black","reverend","justic","injustic","racial","church","memphi","wright","patriot"
"45","war","diplomaci","iraq","georg","troop","combat","iraqi","qaeda","bush","convent"
