"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","togeth","may","clinton","begin","class","your","forward","presid","believ","turn"
"2","louisiana","hide","easi","applaus","lose","simpli","crowd","truth","size","cut"
"3","webb","inin","andand","toto","theth","alright","rural","ofof","farm","vietnames"
"4","decad","york","child","small","parti","fear","factori","couldnt","lobbi","oversea"
"5","desir","detroit","brain","quarter","terri","cheer","laughter","carson","murray","ratio"
"6","graham","isil","capac","homeland","iran","ayatollah","inspect","assad","iranian","capabl"
"7","christi","guilti","jersey","audienc","anxieti","livingston","governor","angri","rodham","secret"
"8","isra","israel","nato","alli","aipac","jewish","palestinian","shown","natan","signal"
"9","wisconsin","deserv","walker","david","taxpay","shirt","encount","reform","veteran","safeti"
"10","dioxid","carbon","mason","destruct","liberia","peac","dispar","endless","mass","war"
"11","trial","unknown","speaker","paul","disproportion","-mike","vision","defend","highway","scandal"
"12","rubio","tapper","centuri","english","marco","nomine","languag","yesterday","global","planet"
"13","sander","billionair","greec","matthew","hay","berni","cuomo","vermont","turnout","daili"
"14","huckabe","russert","schieffer","stephanopoulo","axelrod","mike","mccain","arkansa","giuliani","romney"
"15","cruz","imagin","carolin","redstat","flight","rocket","netanyahu","ted","liberti","missil"
"16","omalley","maryland","mayor","lgbtq","bulli","action","baltimor","dawson","polic","progress"
"17","nafta","renegoti","rig","donor","trump","mexico","illeg","massiv","african-american","boo"
"18","perri","explor","fanni","anita","conservat","jess","texa","freddi","willi","mortgag"
"19","karen","pennsylvania","rick","gentlemen","grandfath","contrast","abort","folk","manufactur","race"
"20","florida","miami","normal","zone","recruit","leagu","urban","shape","tallahasse","email"
"21","polit","reimagin","may","expect","follow","watch","remark","join","second","believ"
"22","research","insur","mortgag","invis","foreclosur","blitzer","health","nurs","patient","dickerson"
"23","class","polit","end","may","enough","lower","believ","hillari","run","your"
"24","fiorina","class","fix","may","polit","forward","step","expect","togeth","lower"
"25","bite","polit","class","togeth","begin","enough","end","your","presid","turn"
"26","petti","fix","watch","lower","remark","end","control","begin","never","clinton"
"27","video","clinton","class","togeth","may","your","polit","presid","believ","begin"
"28","clip","clinton","togeth","class","your","may","begin","polit","believ","presid"
"29","remot","presid","may","believ","end","forward","give","follow","time","project"
"30","televis","togeth","end","clinton","never","time","remark","polit","begin","your"
"31","profession","togeth","presid","believ","begin","time","give","your","leader","turn"
"32","ident","control","step","never","time","watch","believ","lead","may","leader"
"33","car","clinton","togeth","time","never","believ","know","end","give","begin"
"34","founder","believ","govern","remark","give","stand","time","control","presid","peter"
"35","empow","presid","clinton","end","give","believ","time","leader","need","way"
"36","sound","clinton","presid","togeth","know","your","end","need","give","believ"
"37","declar","govern","remark","time","presid","come","follow","stand","peter","believ"
"38","citizen","clinton","togeth","time","end","never","american","say","way","begin"
"39","intend","presid","togeth","give","stand","know","time","way","need","forward"
"40","candidaci","govern","lead","believ","remark","may","time","presid","woolley","come"
"41","corrupt","clinton","never","american","hillari","time","say","end","togeth","know"
"42","tire","clinton","govern","american","time","say","hillari","can","run","know"
"43","broken","american","govern","can","need","time","way","say","remark","come"
"44","announc","govern","time","american","come","remark","can","way","say","believ"
"45","voic","know","can","need","american","togeth","say","presid","give","your"
