"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","guilti","wisconsin","candidaci","louisiana","politician","washington","announc","depend","deserv","bureaucrat"
"2","nafta","lie","donor","hillari","mexico","african-american","inner","trump","fbi","rig"
"3","mortgag","invis","foreclosur","medic","nurs","senat","blitzer","renew","servic","webb"
"4","rubio","perri","texa","maryland","omalley","mayor","conservat","lgbtq","baltimor","explor"
"5","huckabe","russert","arkansa","schieffer","mike","stephanopoulo","mccain","axelrod","pakistan","desk"
"6","assad","isil","graham","capabl","peac","regim","normal","iran","zone","forc"
"7","clinton","children","centuri","donald","hard","confid","women","woman","ohio","global"
"8","israel","imagin","jewish","cruz","aipac","pari","palestinian","missil","liberti","hama"
"9","karen","rick","pennsylvania","gentlemen","someon","grandfath","ladi","folk","race","contrast"
"10","sander","billionair","berni","greec","matthew","hay","daili","cuomo","vermont","wealth"
