"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","romney","deficit","audienc","cut","mitt","boo","got","wind","vote","your"
"2","japan","babi","hillari","trump","isi","disast","donald","tempera","nice","citizenship"
"3","rate","gonna","societi","sector","creat","key","compet","manufactur","union","tax"
"4","action","immigr","maryland","gun","dream","wage","must","donald","row","omalley"
"5","mitt","number","romney","guy","appreci","four","militari","permit","abl","hed"
"6","audienc","member","michell","ladi","medicar","boo","basic","guy","everybodi","class"
"7","virginia","west","bishop","pastor","parti","win","race","determin","contest","everyon"
"8","oil","gas","contrast","energi","solar","drill","pump","price","renew","planet"
"9","ron","paul","fire","stori","voic","carolina","iowa","vest","readi","around"
"10","king","bend","memphi","justic","march","arc","struggl","let","generat","death"
"11","small","busi","bank","student","hed","loan","iowa","silkscreen","school","print"
"12","bulli","trump","donald","lauren","equal","disabl","join","progress","maryland","advoc"
"13","ceo","subsidi","agreement","worker","export","trade","dollar","korea","crisi","propos"
"14","defens","missil","cyber","ship","navi","capabl","modern","avoid","isi","east"
"15","card","credit","mccain","cost","famili","debt","relief","pay","hardwork","arent"
"16","veteran","deploy","grandfath","serv","civilian","troop","sacr","enlist","uniform","afghanistan"
"17","pennsylvania","someon","karen","town","race","whos","santorum","manufactur","steel","document"
"18","gold","bail","reserv","money","monetari","liberti","print","spend","constitut","oversea"
"19","hillari","clinton","michigan","donor","african-american","email","nafta","corrupt","illeg","donat"
"20","sander","hay","maddow","chris","question","univers","berni","super","chicago","vote"
"21","webb","rural","farm","farmer","vietnam","agricultur","welcom","associ","sort","tradit"
"22","waterloo","sullivan","voic","barack","brother","iowa","conserv","liber","grate","medicin"
"23","promis","medicar","debt","four","growth","inherit","confid","obama","retire","will"
"24","trip","immigr","affirm","journalist","nativ","action","muslim","associ","impress","question"
"25","war","iraq","soldier","convent","mistak","nuclear","experi","tour","battl","combat"
"26","childcar","account","philadelphia","deduct","doctor","fix","employ","pennsylvania","low-incom","solut"
"27","israel","iran","isra","hezbollah","palestinian","peac","hama","region","iranian","stone"
"28","joe","biden","wisconsin","fight","taxpay","washington","kohl","tonett","test","lower"
"29","explor","coal","shale","energi","product","natur","restrict","develop","environment","electr"
"30","minnesota","budget","feder","balanc","truth","ethanol","taxpay","congress","subsidi","fanni"
"31","counti","somerset","devalu","currenc","nomine","founder","knew","came","centuri","thank"
"32","john","mccain","bush","georg","unidentifi","obama","barack","male","eight","five"
"33","mccain","street","bush","tax","insur","crisi","john","health","georg","eight"
"34","enterpris","freedom","barack","success","mitt","government-cent","dreamer","free","societi","bureaucrat"
"35","insur","gun","realli","know","drug","health","happen","said","caucus","mental"
"36","crime","crimin","enforc","polic","victim","violent","sheriff","milwauke","law","prison"
"37","tim","donald","trump","vote","oppon","realli","michigan","everybodi","mother","pittsburgh"
"38","champion","wisconsin","bet","chang","audienc","quo","everybodi","status","member","class"
"39","mother","father","children","parent","foundat","girl","babi","childcar","child","women"
"40","here","happen","theyr","snake","plant","pennsylvania","win","mexico","short-circuit","bad"
"41","tonight","yes","heal","endur","hope","outsid","word","told","victori","voic"
"42","wage","jail","vermont","hour","billionair","berni","virginia","drug","wealth","major"
"43","nuclear","weapon","threat","global","network","danger","materi","capac","allianc","terrorist"
"44","romney","got","weve","audienc","folk","governor","wind","boo","member","hire"
"45","patriot","iraqi","iraq","sacrific","withdraw","ideal","sectarian","loyalti","consequ","teach"
