,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,boo,audienc,got,deficit,romney,ohio,folk,cut,vote,member
2,iowa,tonight,principl,hampshir,upon,friend,conserv,win,candid,love
3,champion,bet,ohio,audienc,deficit,everybodi,tri,romney,auto,wasnt
4,steel,realli,buffett,warren,trump,regist,zero,want,chines,equal
5,fuel,michigan,vehicl,ethanol,fuel-effici,car,auto,automak,industri,global
6,fight,senat,wealth,obama,yes,spend,spread,joe,tax,dollar
7,ryan,rep,romney,hes,mitt,audienc,member,gramm,paul,four
8,retir,senior,social,save,secur,pension,invis,benefit,match,account
9,strickland,governor,york,ohio,ohioan,robert,clinton,lieuten,dave,manufactur
10,oil,gas,energi,planet,effici,drill,sourc,renew,mccain,price
11,veto,percent,fund,bush,earmark,sovereign,train,price,ronald,unemploy
12,market,busi,energi,drill,job,stock,action,creat,surg,depend
13,mccain,twenty-on,john,week,polit,knew,choos,georg,deep,bush
14,iraqi,troop,iraq,wound,refuge,veteran,region,sectarian,afghanistan,stabil
15,taxpay,oversight,ireland,dollar,reform,northern,youngstown,congress,citizen,agenc
16,georgia,russian,russia,territori,europ,nato,moscow,aggress,bomb,relationship
17,michigan,theyd,washington,vision,burden,ann,havent,automot,industri,cours
18,guilti,hillari,isi,christi,clinton,obamacar,lie,win,shes,mexico
19,corpor,compact,lobbyist,fair,<U+D696><U+C9FC><U+D696><U+D617><U+CC3D><U+D635>,wealth,code,power,ceo,moral
20,mortgag,foreclosur,crisi,confid,homeown,lender,hous,restructur,loan,subprim
21,patient,coverag,medic,insur,drug,qualiti,doctor,health,care,hospit
22,strength,innov,chart,transform,bar,enterpris,taxat,show,gdp,tort
23,audienc,basic,folk,member,michell,got,everybodi,weve,ran,class
24,iran,war,diplomaci,iraq,iraqi,combat,bush,convent,doctrin,diplomat
25,toledo,consum,trump,hed,everyon,taxpay,rule,share,fargo,print
26,number,romney,flag,obamacar,four,yeah,mitt,five,usa,boy
27,hillari,immigr,clinton,citi,inner,african-american,illeg,border,email,violenc
28,donald,gun,trump,nuclear,weapon,putin,bruce,gabbi,quot,email
29,student,colleg,tuition,dream,loan,debt,card,bankruptci,credit,educ
30,deserv,better,cleveland,speak,apart,hillari,boss,won,tonight,wave
31,autism,women,woman,children,iowa,caucus,daughter,colleagu,adult,arkansa
32,labor,union,pennsylvania,bargain,hospit,someon,member,shes,alongsid,outsourc
33,street,rescu,mccain,wall,crisi,main,mayb,philosophi,taxpay,page
34,trade,agreement,nafta,worker,manufactur,china,labor,deal,plant,union
35,houston,yes,nuclear,texa,readi,automobil,wait,earli,strategi,friend
36,black,church,racial,wright,white,servic,stori,perfect,anger,faith
37,lobbyist,parti,offens,moment,offer,race,illinoi,voic,fear,block
38,fanni,financi,freddi,institut,mae,reform,mac,crisi,regulatori,regul
39,everybodi,okay,folk,basic,audienc,question,got,ladi,small,member
40,freedom,missouri,constitut,rick,listen,obamacar,suprem,court,god,declar
41,democrat,tonight,readi,heat,deserv,stand,voic,republican,wisconsin,thank
42,human,internet,cooper,traffick,digniti,progress,crime,acquir,respect,judg
43,tortur,terror,islam,isi,fisa,habea,surveil,corpus,radic,prison
44,teacher,school,educ,student,teach,charter,child,math,scienc,centuri
45,matthew,obama,west,femal,somebodi,barack,think,tour,deleg,intellig
