"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","romney","deficit","audienc","boo","got","choos","member","mitt","path","laughter"
"2","ohio","columbus","toledo","cleveland","crowd","vote","guy","won","convent","governor"
"3","excerpt","giuliani","earmark","judg","reagan","broken","feder","budget","depart","bench"
"4","champion","bet","audienc","wisconsin","quo","deficit","chang","status","everybodi","auto"
"5","question","trip","muslim","journalist","immigr","affirm","sing","think","qaida","session"
"6","iowa","caucus","januari","des","moin","iowan","hampshir","friend","shes","begin"
"7","trade","agreement","worker","corpor","card","nafta","fair","china","wage","plant"
"8","michigan","florida","voic","count","detroit","gramm","deserv","nuclear","mccain","drill"
"9","gonna","welfar","gateway","entitl","milwauke","insid","rate","folk","compet","oppon"
"10","senior","social","secur","invis","medicar","benefit","grandpar","term","fiscal","drug"
"11","trump","donald","tim","zero","childcar","insult","kain","everybodi","realli","print"
"12","spend","dollar","tax","wast","spread","veto","obama","senat","earmark","altern"
"13","oil","gas","energi","planet","car","drill","biofuel","fuel","renew","fuel-effici"
"14","cheer","âxx","inaud","romney","mitt","number","four","applaus","obamacar","flag"
"15","fear","moment","cynic","stood","illinoi","georg","fought","block","chang","washington"
"16","gold","sovereign","veto","bail","middle-class","monetari","deriv","minnesota","debt","knoxvill"
"17","iraqi","iraq","troop","sectarian","militari","region","refuge","war","qaeda","afghanistan"
"18","israel","iran","palestinian","nuclear","weapon","threat","terror","peac","iranian","terrorist"
"19","explor","shale","environment","coal","ethanol","natur","epa","electr","produc","fuel"
"20","growth","propos","small","busi","declin","incom","earn","stock","tax","deduct"
"21","sander","matthew","hay","berni","jail","chris","billionair","inaud","gay","super"
"22","foreclosur","mortgag","homeown","subprim","stimulus","crisi","lender","broker","hous","crise"
"23","isi","georgia","syrian","russian","assad","syria","tortur","terrorist","islam","arab"
"24","donald","maddow","trump","petraeus","virginia","deleg","west","gun","rachel","putin"
"25","patient","coverag","insur","doctor","qualiti","drug","health","care","medic","premium"
"26","bank","regulatori","institut","financi","fed","agenc","wall","street","fraud","market"
"27","sweater","vest","stori","primari","volunt","texa","voic","race","weekend","hillari"
"28","youngstown","heat","belt","solut","seven","oppon","leav","deliv","stand","fulfil"
"29","biden","bulli","joe","maryland","action","gun","tonight","pennsylvania","progress","immigr"
"30","retir","ð²ðxâxxc","pension","save","labor","union","compact","middle-class","bankruptci","match"
"31","hillari","african-american","guilti","clinton","inner","illeg","email","donor","rig","lie"
"32","trump","mexico","nice","stupid","applaus","penc","tremend","hell","disast","indiana"
"33","strickland","ohioan","zanesvill","lieuten","upstat","governor","dave","corzin","beth","robert"
"34","student","teacher","educ","school","teach","colleg","graduat","faith-bas","charter","child"
"35","enterpris","innov","freedom","transform","mitt","free","healthcar","government-cent","dreamer","pursu"
"36","karen","rick","santorum","somerset","someon","counti","pennsylvania","steubenvill","town","document"
"37","catt","teacher","âxx","women","school","grade","suffrag","lgbtq","woman","parent"
"38","matthew","cheer","chester","unidentifi","hardbal","somebodi","base","femal","obama","intellig"
"39","autism","webb","rural","mother","farm","salli","vietnam","bob","sara","daughter"
"40","dinner","smith","tonight","laughter","houston","room","applaus","rudi","alfr","emin"
"41","conserv","god","deserv","freedom","waterloo","better","bless","inherit","re-elect","principl"
"42","audienc","member","folk","michell","laughter","romney","got","basic","everybodi","boo"
"43","mccain","street","moment","main","rescu","middle-class","eight","crisi","ceo","wall"
"44","king","black","reverend","justic","injustic","racial","memphi","prison","caus","church"
"45","oversight","taxpay","mae","fanni","mac","septemb","freddi","crisi","palin","financi"
