"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","mitt","cheer","romney","ryan","four","flag","audienc","paul","usa","portman"
"2","ohio","vote","columbus","choos","night","mitt","romney","kick","octob","crowd"
"3","excerpt","judg","conserv","principl","presidenti","lawyer","legal","appoint","lawsuit","fred"
"4","champion","bet","wisconsin","audienc","quo","deficit","chang","auto","status","everybodi"
"5","donald","maddow","virginia","deleg","trump","rachel","west","parti","democrat","putin"
"6","trump","donald","gun","tim","zero","insult","realli","kain","print","fairer"
"7","tonight","iowa","dinner","caucus","hampshir","smith","laughter","januari","congratul","shes"
"8","michigan","detroit","florida","mccain","drill","voic","count","gramm","nuclear","deserv"
"9","gonna","math","welfar","rate","entitl","insid","gateway","milwauke","export","write"
"10","trade","agreement","wage","worker","nafta","offens","janet","plant","union","omalley"
"11","retir","senior","social","secur","save","invis","pension","grandpar","benefit","account"
"12","tax","obama","spend","senat","low","wont","spread","altern","dollar","busi"
"13","matthew","brain","chester","somebodi","unidentifi","obama","ð²ð","shannon","pittsburgh","think"
"14","oil","planet","gas","energi","renew","effici","biofuel","drill","gallon","addict"
"15","fear","moment","georg","illinoi","chang","cynic","polit","twenty-on","divid","common"
"16","gold","ron","bail","paul","truth","minnesota","feder","spend","monetari","print"
"17","palestinian","israel","iran","weapon","nuclear","iranian","terror","peac","threat","intellig"
"18","explor","fuel","shale","vehicl","coal","electr","develop","ethanol","emiss","environment"
"19","iraqi","iraq","troop","sectarian","veteran","afghanistan","war","qaeda","civilian","region"
"20","middle-class","sovereign","fund","deriv","bush","price","knoxvill","stock","declin","wealth"
"21","sander","matthew","hay","berni","jail","billionair","chris","gay","super","vermont"
"22","trump","applaus","mexico","nice","penc","stupid","gonna","hell","horribl","disast"
"23","fanni","financi","taxpay","freddi","oversight","institut","mae","regulatori","mac","wall"
"24","isi","georgia","syrian","russian","syria","tortur","assad","terrorist","crime","terror"
"25","patient","coverag","insur","drug","qualiti","doctor","health","care","medic","premium"
"26","heat","stand","caucus","readi","iowan","health","arkansa","insur","present","real"
"27","childcar","growth","reform","bank","obama-clinton","trillion","regul","deduct","dodd-frank","rate"
"28","youngstown","joe","biden","belt","solut","special","oppon","manufactur","agreement","nafta"
"29","sweater","vest","stori","volunt","primari","weekend","texa","voic","dakota","deepli"
"30","ð²ð","card","labor","union","bankruptci","corpor","bargain","worker","pension","ceo"
"31","strickland","ohioan","zanesvill","lieuten","upstat","governor","ohio","dave","corzin","robert"
"32","hillari","african-american","clinton","guilti","inner","email","corrupt","donor","illeg","lie"
"33","somerset","missouri","document","freedom","founder","counti","listen","santorum","devalu","constitut"
"34","enterpris","innov","transform","freedom","free","bureaucrat","foster","government-cent","pursu","success"
"35","teacher","student","school","educ","graduat","parent","teach","charter","classroom","kid"
"36","webb","catt","rural","farm","women","lgbtq","suffrag","vietnam","bulli","woman"
"37","cheer","inaud","applaus","number","laughter","boo","obamacar","guy","jim","yeah"
"38","autism","mother","salli","father","bob","sara","children","seeli","intervent","wheelchair"
"39","rick","pennsylvania","karen","someon","santorum","steubenvill","town","southwestern","district","race"
"40","audienc","member","got","boo","folk","weve","laughter","deficit","wind","romney"
"41","mccain","street","crisi","main","eight","tax","rescu","wall","moment","invest"
"42","king","black","justic","reverend","injustic","patriot","church","racial","caus","memphi"
"43","deserv","promis","better","god","waterloo","wisconsin","inherit","bless","candidaci","jackson"
"44","mortgag","foreclosur","homeown","lender","subprim","loan","lend","crisi","hous","restructur"
"45","theori","everybodi","michell","laughter","okay","audienc","juli","basic","birthday","folk"
